sample_id,label,prediction,correct,data_loading_us,ps_to_pl_us,kernel_us,pl_to_ps_us,postprocess_us,total_e2e_us,config
0,0,0,1,13.422,1761.489,986.972,417.576,20.308,3583.465,s0_dense
1,1,1,1,10.197,1237.230,970.917,395.009,18.468,2788.665,s0_dense
2,1,1,1,9.778,1177.791,980.683,390.935,18.369,2728.105,s0_dense
3,1,0,0,9.496,1160.376,967.896,408.222,18.517,2717.009,s0_dense
4,1,1,1,9.933,1181.668,984.135,387.951,17.747,2730.209,s0_dense
5,1,1,1,9.551,1166.732,984.332,385.378,17.373,2710.670,s0_dense
6,1,1,1,9.735,1153.144,980.351,385.865,18.221,2694.708,s0_dense
7,1,1,1,9.674,1215.384,982.935,393.803,19.095,2771.508,s0_dense
8,1,1,1,9.520,1172.185,982.572,386.308,18.899,2719.224,s0_dense
9,1,1,1,9.581,1156.708,977.470,386.166,18.714,2698.597,s0_dense
10,1,1,1,9.539,1156.640,970.061,386.012,18.344,2685.729,s0_dense
11,1,1,1,11.508,1180.616,976.548,390.191,18.597,2733.213,s0_dense
12,1,1,1,9.581,1160.338,979.496,387.022,18.794,2704.049,s0_dense
13,1,1,1,9.587,1151.089,973.588,383.200,18.456,2681.323,s0_dense
14,1,1,1,9.877,1149.815,975.545,407.550,18.948,2710.092,s0_dense
15,1,1,1,9.705,1169.772,979.114,386.104,17.606,2711.809,s0_dense
16,1,1,1,9.391,1155.157,974.603,384.689,17.957,2688.431,s0_dense
17,1,1,1,9.545,1148.695,972.345,386.548,18.277,2684.665,s0_dense
18,1,1,1,9.139,1216.357,976.770,393.212,18.683,2762.929,s0_dense
19,1,1,1,9.514,1166.092,977.939,386.646,18.080,2708.019,s0_dense
20,1,1,1,9.988,1149.539,975.145,383.366,17.575,2681.280,s0_dense
21,1,1,1,9.434,1150.837,971.680,385.163,17.957,2683.065,s0_dense
22,1,1,1,9.600,1166.954,977.280,387.299,18.117,2757.206,s0_dense
23,1,1,1,9.692,1153.126,974.646,385.957,18.179,2693.379,s0_dense
24,1,1,1,9.145,1149.212,975.022,384.892,18.172,2683.034,s0_dense
25,1,1,1,9.428,1143.052,973.871,400.942,18.720,2695.502,s0_dense
26,1,1,1,9.693,1160.904,971.336,386.320,18.221,2694.154,s0_dense
27,0,0,1,9.588,1152.763,968.474,384.763,17.926,2679.483,s0_dense
28,1,1,1,9.367,1145.655,972.129,384.000,18.025,2675.982,s0_dense
29,1,1,1,9.477,1202.794,977.206,392.449,17.975,2748.160,s0_dense
30,1,1,1,9.391,1160.800,973.994,387.908,17.810,2698.031,s0_dense
31,1,1,1,9.618,1150.314,972.831,385.766,18.573,2683.452,s0_dense
32,1,1,1,9.219,1140.936,978.665,383.077,17.834,2676.055,s0_dense
33,1,1,1,9.550,1233.169,976.787,389.821,18.382,2778.345,s0_dense
34,0,0,1,9.292,1155.803,973.790,388.142,18.265,2692.941,s0_dense
35,1,1,1,9.471,1151.569,978.215,384.006,18.424,2689.114,s0_dense
36,0,0,1,9.298,1150.289,970.806,400.861,18.640,2697.071,s0_dense
37,1,1,1,9.403,1170.628,975.618,381.939,17.699,2702.960,s0_dense
38,1,1,1,9.594,1153.520,975.292,385.003,18.240,2689.970,s0_dense
39,1,1,1,9.680,1148.517,975.452,382.861,18.345,2682.320,s0_dense
40,0,0,1,9.243,1199.120,978.154,398.302,17.668,2751.557,s0_dense
41,1,1,1,9.594,1164.849,974.313,387.188,18.148,2701.243,s0_dense
42,1,1,1,9.052,1149.729,972.954,382.523,17.655,2678.056,s0_dense
43,0,0,1,9.569,1149.963,977.311,387.132,18.400,2690.880,s0_dense
44,1,1,1,9.846,1218.868,980.480,388.523,18.184,2763.181,s0_dense
45,1,1,1,9.902,1157.766,974.892,388.787,18.702,2697.120,s0_dense
46,1,1,1,9.533,1153.427,974.652,382.714,18.326,2683.465,s0_dense
47,1,1,1,9.815,1148.129,981.945,400.677,18.905,2708.043,s0_dense
48,1,1,1,9.348,1161.084,972.695,387.175,18.394,2698.775,s0_dense
49,1,1,1,9.459,1154.757,970.708,386.234,18.363,2687.938,s0_dense
50,1,1,1,9.212,1151.292,972.677,384.050,18.738,2683.668,s0_dense
51,1,1,1,9.378,1140.985,1029.409,401.157,18.314,2749.742,s0_dense
52,1,1,1,9.563,1160.400,975.083,387.354,17.969,2699.773,s0_dense
53,1,1,1,9.649,1147.231,976.302,384.794,18.142,2684.098,s0_dense
54,1,1,1,9.243,1147.440,976.880,381.791,18.499,2679.003,s0_dense
55,1,1,1,9.385,1233.329,974.917,389.360,18.185,2773.064,s0_dense
56,1,1,1,9.532,1165.741,978.542,382.234,18.868,2701.637,s0_dense
57,0,0,1,9.698,1154.037,973.735,385.224,18.486,2688.702,s0_dense
58,1,1,1,9.569,1146.172,1043.397,401.717,18.628,2769.120,s0_dense
59,1,1,1,9.533,1164.751,975.643,385.643,17.902,2701.280,s0_dense
60,1,1,1,9.231,1154.259,974.615,387.865,18.960,2689.366,s0_dense
61,0,0,1,9.502,1146.400,974.388,385.366,17.810,2679.194,s0_dense
62,1,1,1,9.513,1145.895,977.028,399.779,17.575,2696.124,s0_dense
63,0,0,1,9.342,1166.025,967.822,388.117,18.283,2697.034,s0_dense
64,1,1,1,9.816,1153.613,975.434,387.144,18.111,2691.902,s0_dense
65,0,0,1,9.717,1143.963,973.858,383.933,17.674,2676.215,s0_dense
66,1,1,1,9.206,1221.390,974.966,390.252,17.514,2761.784,s0_dense
67,0,0,1,9.502,1157.532,973.311,387.526,17.631,2692.449,s0_dense
68,1,1,1,9.268,1152.813,980.560,381.846,18.129,2688.732,s0_dense
69,1,1,1,9.483,1149.890,967.292,460.511,18.824,2754.701,s0_dense
70,1,1,1,9.576,1173.114,980.609,389.028,17.846,2719.901,s0_dense
71,1,1,1,9.471,1154.653,977.871,385.465,18.062,2693.243,s0_dense
72,1,1,1,9.237,1149.723,972.056,382.966,18.511,2678.911,s0_dense
73,1,1,1,9.298,1152.775,966.868,403.987,18.837,2702.437,s0_dense
74,1,1,1,10.025,1166.739,969.890,384.609,18.467,2697.797,s0_dense
75,1,1,1,9.846,1155.071,971.384,387.926,18.406,2688.954,s0_dense
76,0,0,1,9.544,1144.584,975.440,384.412,18.258,2676.867,s0_dense
77,1,1,1,9.581,1251.760,977.784,396.536,18.739,2803.058,s0_dense
78,1,1,1,9.699,1183.729,979.686,387.625,18.314,2726.683,s0_dense
79,1,1,1,9.797,1155.834,973.625,386.160,18.486,2691.446,s0_dense
80,0,0,1,9.637,1152.098,969.963,664.394,19.323,2968.351,s0_dense
81,0,0,1,9.735,1194.104,978.677,392.960,18.468,2745.028,s0_dense
82,1,1,1,9.360,1175.661,974.043,389.133,18.332,2714.985,s0_dense
83,1,1,1,9.483,1150.474,974.037,387.053,17.637,2683.852,s0_dense
84,1,1,1,9.452,1212.997,977.661,390.222,18.929,2757.015,s0_dense
85,1,1,1,9.464,1163.827,972.031,387.132,18.603,2700.302,s0_dense
86,0,1,0,9.477,1156.904,973.895,385.009,17.871,2688.868,s0_dense
87,1,1,1,9.569,1148.302,970.302,386.344,18.080,2680.677,s0_dense
88,1,0,0,9.298,1242.978,979.908,388.412,18.277,2787.773,s0_dense
89,1,1,1,10.000,1162.609,976.357,385.249,18.370,2703.342,s0_dense
90,1,1,1,10.061,1152.277,972.179,384.733,18.541,2684.787,s0_dense
91,1,0,0,9.790,1154.652,979.101,403.348,18.449,2713.434,s0_dense
92,1,1,1,9.785,1170.172,974.554,390.603,17.354,2709.914,s0_dense
93,1,1,1,9.360,1154.222,978.584,387.896,18.400,2696.012,s0_dense
94,1,1,1,9.353,1147.938,973.169,384.634,18.283,2680.776,s0_dense
95,1,1,1,9.649,1213.348,979.692,394.831,18.302,2765.415,s0_dense
96,1,1,1,9.373,1162.610,979.791,387.396,17.914,2705.581,s0_dense
97,1,1,1,9.274,1153.009,972.634,385.545,18.677,2686.271,s0_dense
98,1,1,1,9.520,1151.619,975.329,380.099,18.271,2681.957,s0_dense
99,1,1,1,9.502,1216.283,973.452,388.320,18.129,2754.425,s0_dense
100,1,1,1,9.477,1153.741,975.200,386.880,17.624,2690.763,s0_dense
101,1,1,1,9.483,1153.021,967.914,383.815,17.655,2677.513,s0_dense
102,1,1,1,9.667,1149.853,969.329,402.228,18.874,2698.930,s0_dense
103,1,1,1,10.191,1171.034,976.738,388.444,18.529,2715.119,s0_dense
104,1,0,0,9.674,1151.600,974.788,383.582,18.640,2684.283,s0_dense
105,1,1,1,9.834,1146.215,973.348,384.849,17.877,2679.268,s0_dense
