label,ref_logit0,ref_logit1,hw_logit0,hw_logit1,ref_pred,hw_pred,correct_ref,correct_hw,match_ref_hw,abs_error
0,0.6272448301315308,0.3212658166885376,0.4755859375,0.4921875,0,1,1,0,0,0.1709216833114624
1,-3.3749680519104004,2.4279983043670654,-3.4052734375,2.451171875,1,1,1,1,1,0.03030538558959961
1,-1.9592939615249634,2.166956663131714,-1.9501953125,2.09765625,1,1,1,1,1,0.06930041313171387
1,0.6665220260620117,0.6400958299636841,0.75390625,0.5947265625,0,0,0,0,1,0.08738422393798828
1,-3.0221059322357178,2.509582757949829,-2.830078125,2.361328125,1,1,1,1,1,0.19202780723571777
1,-1.281368374824524,1.6460411548614502,-1.279296875,1.6611328125,1,1,1,1,1,0.015091657638549805
1,-1.6979848146438599,1.4726003408432007,-1.5634765625,1.380859375,1,1,1,1,1,0.13450825214385986
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-0.7223954200744629,0.6944258213043213,-0.646484375,0.6337890625,1,1,1,1,1,0.07591104507446289
1,-2.4441537857055664,2.26316237449646,-2.400390625,2.208984375,1,1,1,1,1,0.05417799949645996
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-2.3601012229919434,1.894891381263733,-2.310546875,1.8330078125,1,1,1,1,1,0.06188356876373291
1,-2.35640287399292,2.2249481678009033,-2.328125,2.15234375,1,1,1,1,1,0.07260441780090332
1,-2.4048004150390625,2.1229584217071533,-2.3544921875,2.060546875,1,1,1,1,1,0.06241154670715332
1,-1.80606210231781,1.4206297397613525,-1.802734375,1.435546875,1,1,1,1,1,0.014917135238647461
1,-3.566303253173828,2.277974843978882,-3.6201171875,2.337890625,1,1,1,1,1,0.059915781021118164
1,-3.0534846782684326,2.5698533058166504,-2.876953125,2.435546875,1,1,1,1,1,0.17653155326843262
1,-2.729034423828125,2.101710796356201,-2.59375,2.033203125,1,1,1,1,1,0.135284423828125
1,-1.8610209226608276,1.9928439855575562,-1.9052734375,1.9677734375,1,1,1,1,1,0.04425251483917236
1,-0.2224234640598297,0.5379499197006226,-0.13671875,0.4892578125,1,1,1,1,1,0.08570471405982971
1,-2.789104461669922,2.5611824989318848,-2.6484375,2.4130859375,1,1,1,1,1,0.14809656143188477
1,-1.9272689819335938,1.425388216972351,-1.86328125,1.3828125,1,1,1,1,1,0.06398773193359375
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-2.7404017448425293,2.1061668395996094,-2.712890625,2.0673828125,1,1,1,1,1,0.038784027099609375
1,-2.6041455268859863,2.263756275177002,-2.595703125,2.2412109375,1,1,1,1,1,0.022545337677001953
1,-2.729034423828125,2.101710796356201,-2.59375,2.033203125,1,1,1,1,1,0.135284423828125
1,-2.5660183429718018,2.2963309288024902,-2.48046875,2.20703125,1,1,1,1,1,0.08929967880249023
0,2.6758029460906982,-0.16643434762954712,2.6279296875,-0.181640625,0,0,1,1,1,0.04787325859069824
1,-2.5660183429718018,2.2963309288024902,-2.48046875,2.20703125,1,1,1,1,1,0.08929967880249023
1,-2.8881306648254395,2.492526054382324,-2.7412109375,2.357421875,1,1,1,1,1,0.14691972732543945
1,-1.792818307876587,2.176734209060669,-1.7998046875,2.1650390625,1,1,1,1,1,0.011695146560668945
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-1.9620686769485474,1.472791075706482,-1.791015625,1.33203125,1,1,1,1,1,0.17105305194854736
1,-2.1312673091888428,2.2200286388397217,-2.10546875,2.150390625,1,1,1,1,1,0.06963801383972168
0,2.6758029460906982,-0.16643434762954712,2.6279296875,-0.181640625,0,0,1,1,1,0.04787325859069824
1,-2.7119836807250977,1.792901635169983,-2.7041015625,1.8359375,1,1,1,1,1,0.04303586483001709
0,2.101231098175049,-0.1739291548728943,2.17578125,-0.2109375,0,0,1,1,1,0.07455015182495117
1,0.09179654717445374,1.068015456199646,0.1806640625,0.9560546875,1,1,1,1,1,0.111960768699646
1,-3.624392509460449,2.4163599014282227,-3.669921875,2.4580078125,1,1,1,1,1,0.04552936553955078
1,-0.2835736572742462,1.0205656290054321,-0.228515625,0.958984375,1,1,1,1,1,0.06158125400543213
0,2.7648138999938965,-0.36796265840530396,2.6826171875,-0.3564453125,0,0,1,1,1,0.08219671249389648
1,-2.868607759475708,2.192905902862549,-2.83203125,2.1474609375,1,1,1,1,1,0.04544496536254883
1,-2.5660183429718018,2.2963309288024902,-2.48046875,2.20703125,1,1,1,1,1,0.08929967880249023
0,1.9196089506149292,0.055590033531188965,1.9013671875,0.0322265625,0,0,1,1,1,0.023363471031188965
1,-2.2112648487091064,1.9423247575759888,-1.9248046875,1.736328125,1,1,1,1,1,0.28646016120910645
1,-0.5656616687774658,0.6252179741859436,-0.6328125,0.662109375,1,1,1,1,1,0.06715083122253418
1,-3.166430711746216,1.7024258375167847,-3.34765625,1.8818359375,1,1,1,1,1,0.18122553825378418
1,-2.4048004150390625,2.1229584217071533,-2.3544921875,2.060546875,1,1,1,1,1,0.06241154670715332
1,-3.001805305480957,2.6057567596435547,-2.818359375,2.4384765625,1,1,1,1,1,0.18344593048095703
1,-1.9272689819335938,1.425388216972351,-1.86328125,1.3828125,1,1,1,1,1,0.06398773193359375
1,-3.612015724182129,2.240328311920166,-3.7158203125,2.33203125,1,1,1,1,1,0.1038045883178711
1,-1.9272689819335938,1.425388216972351,-1.86328125,1.3828125,1,1,1,1,1,0.06398773193359375
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-0.42398321628570557,1.0286673307418823,-0.3876953125,1.025390625,1,1,1,1,1,0.036287903785705566
1,-0.5207068920135498,0.7840397357940674,-0.505859375,0.734375,1,1,1,1,1,0.04966473579406738
1,-0.019165411591529846,0.9220632314682007,0.0673828125,0.8369140625,1,1,1,1,1,0.08654822409152985
1,-0.3626501262187958,1.266992449760437,-0.2353515625,1.1552734375,1,1,1,1,1,0.12729856371879578
0,2.0220422744750977,-0.310288667678833,1.6982421875,0.0390625,0,0,1,1,1,0.349351167678833
1,-2.680722713470459,2.0858123302459717,-2.654296875,2.04296875,1,1,1,1,1,0.04284358024597168
1,0.12602964043617249,0.6152340769767761,0.1474609375,0.599609375,1,1,1,1,1,0.021431297063827515
1,-2.9256093502044678,2.6016409397125244,-2.8076171875,2.4765625,1,1,1,1,1,0.12507843971252441
0,3.0759189128875732,-0.902194082736969,3.0068359375,-0.8740234375,0,0,1,1,1,0.06908297538757324
1,-1.9620686769485474,1.472791075706482,-1.791015625,1.33203125,1,1,1,1,1,0.17105305194854736
0,3.927480697631836,-1.1295770406723022,3.8359375,-1.09375,0,0,1,1,1,0.09154319763183594
1,-0.3744799792766571,1.399140477180481,-0.423828125,1.44921875,1,1,1,1,1,0.05007827281951904
0,2.7047648429870605,-0.3697493076324463,2.689453125,-0.34375,0,0,1,1,1,0.02599930763244629
1,-0.5017504692077637,1.3298951387405396,-0.751953125,1.4287109375,1,1,1,1,1,0.25020265579223633
0,2.1272921562194824,-0.24005542695522308,2.1484375,-0.287109375,0,0,1,1,1,0.047053948044776917
1,-2.637101173400879,2.0730574131011963,-2.62890625,2.052734375,1,1,1,1,1,0.02032303810119629
1,-2.7443320751190186,2.452960252761841,-2.7197265625,2.412109375,1,1,1,1,1,0.04085087776184082
1,-1.9979753494262695,1.8332282304763794,-1.7587890625,1.666015625,1,1,1,1,1,0.23918628692626953
1,0.23294904828071594,0.9883368015289307,0.2421875,0.9755859375,1,1,1,1,1,0.012750864028930664
1,-0.3945022523403168,1.085184097290039,-0.375,1.0751953125,1,1,1,1,1,0.019502252340316772
1,0.8308085203170776,0.6992665529251099,0.7646484375,0.7236328125,0,0,0,0,1,0.06616008281707764
1,-4.007227420806885,2.466252326965332,-3.943359375,2.4521484375,1,1,1,1,1,0.06386804580688477
1,-3.170931816101074,1.9492770433425903,-2.916015625,1.794921875,1,1,1,1,1,0.2549161911010742
0,0.4964379370212555,0.2106829136610031,0.560546875,0.146484375,0,0,1,1,1,0.06419853866100311
1,-2.4048004150390625,2.1229584217071533,-2.3544921875,2.060546875,1,1,1,1,1,0.06241154670715332
1,-3.102652072906494,2.4300363063812256,-2.90625,2.3017578125,1,1,1,1,1,0.19640207290649414
1,-2.4048004150390625,2.1229584217071533,-2.3544921875,2.060546875,1,1,1,1,1,0.06241154670715332
0,1.7941728830337524,0.10622349381446838,1.6953125,0.142578125,0,0,1,1,1,0.09886038303375244
0,3.0759189128875732,-0.902194082736969,3.0068359375,-0.8740234375,0,0,1,1,1,0.06908297538757324
