metric,value
model_id,Ours-Q8-S0-AttnSparse
code_name,q8_s0_attn_sparse
d_model,16
ff_dim,32
quant_bits,8
active_dim,16
effective_sparsity,0%
vivado_lut,14019
vivado_dsp,124
vivado_ff,13373
vivado_bram,15
hw_label_accuracy,0.909698
ref_label_accuracy,0.909988
precision,0.985988
recall,0.907363
f1,0.945043
prediction_match_rate,0.982869
max_abs_error,0.6829982
mean_abs_error,0.16504185
nan_samples,0
inf_samples,0
latency_us_100runs,852.6312
latency_us_1000runs,846.791
latency_std_1000runs,5.868
total_runtime_us,7647826.03
throughput_samples_per_sec,450.32
speedup_vs_ViT4Mal_fastest_810ms,956.55
speedup_vs_ViT4Mal_recommended_1480ms,1747.77
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
per_sample_verified,True
notes,Q8 S0. LUT=14019 DSP=124 hw_acc=0.9097 F1=0.9450 latency=846.79us.
