experiment_id,quant_bits,sparsity_percent,active_dim,active_channels,accuracy,precision,recall,f1,auc,prediction_match_rate_vs_q32,max_logit_error_vs_q32,mean_logit_error_vs_q32,sparse_type,status,notes
e1_q16_s0_attn_only,16,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.944251,0.977139,0.957245,0.967089,0.979097,0.997677,0.050032,0.009589,attention_only_qk_active_channel,SUCCESS,
e1_q16_s10_attn_only,16,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.9518,0.976688,0.966746,0.971692,0.979008,0.988966,0.223849,0.06328,attention_only_qk_active_channel,SUCCESS,
e1_q16_s30_attn_only,16,30,11,"[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.952091,0.976696,0.967085,0.971867,0.978925,0.988676,0.239484,0.071525,attention_only_qk_active_channel,SUCCESS,
e1_q16_s50_attn_only,16,50,8,"[3, 4, 7, 10, 11, 12, 13, 14]",0.95122,0.976672,0.966067,0.971341,0.978888,0.989547,0.240895,0.069948,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q16_s70_attn_only,16,70,5,"[3, 4, 7, 10, 11]",0.941928,0.977739,0.953851,0.965648,0.979066,0.996516,0.282916,0.047253,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q16_s90_attn_only,16,90,2,"[3, 4]",0.938444,0.97798,0.94944,0.963499,0.978931,0.993612,0.74744,0.100842,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q16_s100_attn_only,16,100,0,[],0.911731,0.972809,0.922633,0.947057,0.96557,0.944251,2.817505,0.487653,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q8_s0_attn_only,8,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.909988,0.987071,0.906685,0.945172,0.975136,0.950058,2.115893,0.613163,attention_only_qk_active_channel,SUCCESS,
e1_q8_s10_attn_only,8,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912602,0.986755,0.910078,0.946867,0.975099,0.953252,2.171929,0.628991,attention_only_qk_active_channel,SUCCESS,
e1_q8_s30_attn_only,8,30,11,"[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912892,0.98676,0.910417,0.947053,0.9751,0.953542,2.170058,0.630284,attention_only_qk_active_channel,SUCCESS,
e1_q8_s50_attn_only,8,50,8,"[3, 4, 7, 10, 11, 12, 13, 14]",0.910279,0.986716,0.907363,0.945377,0.97485,0.950929,2.21726,0.63401,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q8_s70_attn_only,8,70,5,"[3, 4, 7, 10, 11]",0.904762,0.988073,0.899559,0.941741,0.975001,0.943089,2.154349,0.625173,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q8_s90_attn_only,8,90,2,"[3, 4]",0.905052,0.987714,0.900238,0.941949,0.975089,0.943961,2.115606,0.640251,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
e1_q8_s100_attn_only,8,100,0,[],0.883275,0.986988,0.875127,0.927698,0.963333,0.908827,2.673199,0.454481,attention_only_qk_active_channel,SUCCESS,high-sparsity ablation
