experiment_id,quant_bits,quant_type,sparsity_percent,active_dim,accuracy,precision,recall,f1,auc,prediction_match_rate_vs_q32,max_logit_error_vs_q32,mean_logit_error_vs_q32,num_samples,status,notes
e1_q32_s0,32,float32,0,16,0.941928,0.977075,0.95453,0.965671,0.979129,1.0,0.0,0.0,3444,SUCCESS,
e1_q32_s10,32,float32,10,14,0.858595,0.990822,0.842552,0.910691,0.977458,0.887631,2.209138,0.583091,3444,SUCCESS,
e1_q32_s30,32,float32,30,11,0.770325,0.99134,0.738039,0.846139,0.964466,0.79007,3.99082,1.024197,3444,SUCCESS,
e1_q32_s50,32,float32,50,8,0.816783,0.984925,0.7981,0.881724,0.942959,0.843496,3.540296,1.070253,3444,SUCCESS,
e1_q32_s70,32,float32,70,5,0.831591,0.955367,0.842552,0.89542,0.882791,0.821138,4.684345,0.914768,3444,SUCCESS,
e1_q32_s90,32,float32,90,2,0.849013,0.866063,0.974211,0.916959,0.787825,0.83043,7.024663,1.069056,3444,SUCCESS,
e1_q32_s100,32,float32,100,0,0.855691,0.855691,1.0,0.922234,0.5,0.835947,4.237863,1.911391,3444,SUCCESS,
e1_q16_s0,16,"ap_fixed<16,6>",0,16,0.944251,0.977139,0.957245,0.967089,0.979097,0.997677,0.050032,0.009589,3444,SUCCESS,
e1_q16_s10,16,"ap_fixed<16,6>",10,14,0.858885,0.990826,0.842891,0.910891,0.97741,0.887921,2.196707,0.581741,3444,SUCCESS,
e1_q16_s30,16,"ap_fixed<16,6>",30,11,0.771487,0.991356,0.739396,0.847036,0.964458,0.791231,3.986861,1.020762,3444,SUCCESS,
e1_q16_s50,16,"ap_fixed<16,6>",50,8,0.817654,0.984944,0.799118,0.882353,0.942891,0.844367,3.535867,1.065557,3444,SUCCESS,
e1_q16_s70,16,"ap_fixed<16,6>",70,5,0.834785,0.955556,0.846284,0.897607,0.882702,0.823751,4.685196,0.910644,3444,SUCCESS,
e1_q16_s90,16,"ap_fixed<16,6>",90,2,0.849303,0.866104,0.97455,0.917132,0.786637,0.83072,7.034195,1.071422,3444,SUCCESS,
e1_q16_s100,16,"ap_fixed<16,6>",100,0,0.855691,0.855691,1.0,0.922234,0.5,0.835947,4.237863,1.911391,3444,SUCCESS,
e1_q8_s0,8,"ap_fixed<8,4>",0,16,0.909988,0.987071,0.906685,0.945172,0.975136,0.950058,2.115893,0.613163,3444,SUCCESS,
e1_q8_s10,8,"ap_fixed<8,4>",10,14,0.855981,0.991182,0.839158,0.908857,0.976301,0.886179,2.968085,0.828885,3444,SUCCESS,
e1_q8_s30,8,"ap_fixed<8,4>",30,11,0.777584,0.991881,0.746183,0.851665,0.96166,0.796748,3.873303,1.147497,3444,SUCCESS,
e1_q8_s50,8,"ap_fixed<8,4>",50,8,0.894599,0.98173,0.893451,0.935513,0.936586,0.91144,3.38553,1.073523,3444,SUCCESS,
e1_q8_s70,8,"ap_fixed<8,4>",70,5,0.781359,0.955187,0.781133,0.859436,0.87661,0.775552,4.466419,1.01813,3444,SUCCESS,
e1_q8_s90,8,"ap_fixed<8,4>",90,2,0.855401,0.86303,0.987784,0.921203,0.793227,0.836237,7.187323,1.121495,3444,SUCCESS,
e1_q8_s100,8,"ap_fixed<8,4>",100,0,0.855691,0.855691,1.0,0.922234,0.5,0.835947,4.237863,1.911391,3444,SUCCESS,
e1_q4_s0,4,"ap_fixed<4,2>",0,16,0.67712,0.992485,0.627418,0.768815,0.951117,0.695703,3.596019,1.705989,3444,SUCCESS,
e1_q4_s10,4,"ap_fixed<4,2>",10,14,0.916376,0.965674,0.935528,0.950362,0.931879,0.934379,3.798391,1.608824,3444,SUCCESS,
e1_q4_s30,4,"ap_fixed<4,2>",30,11,0.901568,0.970418,0.912793,0.940724,0.941537,0.92712,3.857478,1.478082,3444,SUCCESS,
e1_q4_s50,4,"ap_fixed<4,2>",50,8,0.775842,0.976347,0.756362,0.85239,0.911545,0.805459,4.074867,1.600254,3444,SUCCESS,
e1_q4_s70,4,"ap_fixed<4,2>",70,5,0.853949,0.855439,0.997964,0.921222,0.88091,0.834204,6.560418,1.253475,3444,SUCCESS,
e1_q4_s90,4,"ap_fixed<4,2>",90,2,0.855401,0.855649,0.999661,0.922066,0.735944,0.835656,6.514255,1.150794,3444,SUCCESS,
e1_q4_s100,4,"ap_fixed<4,2>",100,0,0.855691,0.855691,1.0,0.922234,0.5,0.835947,4.237863,1.911391,3444,SUCCESS,
