category,experiment_version,metric,value,unit,source_file,generated_by,our_experiment,ready_for_paper,notes
Software,Q32 Dense (Stage 1),accuracy,0.9419279907084784,fraction,reports/test_metrics.csv,PyTorch test script,TRUE,TRUE,"3,444 samples full test"
Software,Q32 Dense (Stage 1),precision,0.9770753733935394,fraction,reports/test_metrics.csv,PyTorch test script,TRUE,TRUE,
Software,Q32 Dense (Stage 1),recall,0.9545300305395318,fraction,reports/test_metrics.csv,PyTorch test script,TRUE,TRUE,
Software,Q32 Dense (Stage 1),f1,0.9656711294198421,fraction,reports/test_metrics.csv,PyTorch test script,TRUE,TRUE,
Software,Q32 Dense (Stage 1),auc,0.9791292717280949,fraction,reports/test_metrics.csv,PyTorch test script,TRUE,TRUE,
Software,Q32 Dense (Stage 1),test_samples,3444,count,reports/test_metrics.csv,Computed TN+FP+FN+TP,TRUE,TRUE,
Software,Q32 Dense (Stage 1),model_params,3538,count,reports/linear_imgds_dense_baseline_report.md,PyTorch summary,TRUE,TRUE,
Software,Q32 Dense (Stage 1),model_size_mb,0.013,MB,reports/linear_imgds_dense_baseline_report.md,PyTorch checkpoint,TRUE,TRUE,
Software,ONNX vs PyTorch,max_abs_error,7.152557373046875e-07,,reports/onnx_pytorch_diff.csv,ONNX export script,TRUE,TRUE,
Software,ONNX vs PyTorch,mean_abs_error,1.5507451678331563e-07,,reports/onnx_pytorch_diff.csv,ONNX export script,TRUE,TRUE,
Software,ONNX vs PyTorch,rmse,2.1434773600503831e-07,,reports/onnx_pytorch_diff.csv,ONNX export script,TRUE,TRUE,
Software,ONNX vs PyTorch,allclose,True,bool,reports/onnx_pytorch_diff.csv,ONNX export script,TRUE,TRUE,atol=1e-5 rtol=1e-4
Software,Q16 FakeQuant (Stage 2),accuracy,95.5,%,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,eval200 subset only
Software,Q16 FakeQuant (Stage 2),precision,97.59036144578313,%,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),recall,97.0059880239521,%,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),f1,97.2972972972973,%,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),auc,95.8265287606605,%,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),prediction_match_rate_vs_q32,0.995,fraction,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),max_logit_error,0.059359908,,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),mean_logit_error,0.014067945,,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,Q16 FakeQuant (Stage 2),n_eval_samples,200,count,stage2_dense_hls_baselines/q16_s0/reports/q16_fake_quant_metrics.csv,PyTorch fake quant script,TRUE,TRUE,
Software,CPU PyTorch inference,latency_mean_us,284.4373,us,final_paper_experiments/tables/table4_cpu_gpu_fpga_latency.csv,Docker Jupyter notebook,TRUE,TRUE,10000 runs single-sample
Software,CPU PyTorch inference,latency_std_us,185.8501,us,final_paper_experiments/tables/table4_cpu_gpu_fpga_latency.csv,Docker Jupyter notebook,TRUE,TRUE,
Software,CPU ONNX inference,latency_mean_us,43.1636,us,final_paper_experiments/tables/table4_cpu_gpu_fpga_latency.csv,Docker Jupyter notebook,TRUE,TRUE,10000 runs single-sample
Software,CPU ONNX inference,latency_std_us,11.9492,us,final_paper_experiments/tables/table4_cpu_gpu_fpga_latency.csv,Docker Jupyter notebook,TRUE,TRUE,
HLS CSIM,Q32-S0-HLS-reference,prediction_match_rate,1.0000,fraction,stage2_dense_hls_baselines/q32_s0/logs/q32_csim_manual.log,Vitis HLS CSIM,TRUE,TRUE,200/200
HLS CSIM,Q32-S0-HLS-reference,max_abs_error,0.00052404,,stage2_dense_hls_baselines/q32_s0/logs/q32_csim_manual.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q32-S0-HLS-reference,mean_abs_error,0.00010890,,stage2_dense_hls_baselines/q32_s0/logs/q32_csim_manual.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q32-S0-HLS-reference,csim_status,PASS,status,stage2_dense_hls_baselines/q32_s0/logs/q32_csim_manual.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-naive,prediction_match_rate_vs_q32,0.9850,fraction,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,197/200
HLS CSIM,Q16-S0-naive,hw_label_accuracy,0.9450,fraction,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,189/200
HLS CSIM,Q16-S0-naive,ref_label_accuracy,0.9500,fraction,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,190/200
HLS CSIM,Q16-S0-naive,max_abs_error,0.42115319,,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-naive,mean_abs_error,0.06591579,,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSIM,Q16-S0-naive,csim_status,PASS_RELAXED,status,stage2_dense_hls_baselines/q16_s0/logs/q16_csim_manual_v2.log,Vitis HLS CSIM,TRUE,TRUE,
HLS CSYNTH,Q16-S0-naive,BRAM,8,blocks,stage2_dense_hls_baselines/q16_s0/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-naive,DSP,2410,slices,stage2_dense_hls_baselines/q16_s0/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,1095% of limit
HLS CSYNTH,Q16-S0-naive,FF,117524,registers,stage2_dense_hls_baselines/q16_s0/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,110% of limit
HLS CSYNTH,Q16-S0-naive,LUT,180835,count,stage2_dense_hls_baselines/q16_s0/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,339% of limit
HLS CSYNTH,Q16-S0-naive,latency_cycles,2566,cycles,stage2_dense_hls_baselines/q16_s0/hls/.../csynth.rpt,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-naive,latency_us_at_100MHz,25.66,us,Computed from cycles,2566/(100e6)*1e6,TRUE,TRUE,
HLS CSYNTH,Q16-S0-naive,pynq_z2_fit,FALSE,bool,Resource check,Manual comparison,TRUE,TRUE,DSP 2410 > 220 limit
HLS CSYNTH,Q16-S0-PARETO1,BRAM,17,blocks,stage2_dense_hls_baselines/q16_s0_pareto1/reports/pareto1_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,
HLS CSYNTH,Q16-S0-PARETO1,DSP,2639,slices,stage2_dense_hls_baselines/q16_s0_pareto1/reports/pareto1_csynth_summary.csv,Vitis HLS CSYNTH,TRUE,TRUE,1199% of limit
