metric,value
kernel_runtime_mean_us_100runs,2382.6318299779814
kernel_runtime_std_us_100runs,33.52739460237783
total_runtime_mean_us_200samples,2408.759255017685
total_runtime_std_us_200samples,36.47114528364545
throughput_samples_per_sec,415.1514925856125
prediction_match_rate_vs_q32,0.99
hw_label_accuracy,0.99
ref_label_accuracy,1.0
max_abs_error_vs_q32,0.42212975025177
mean_abs_error_vs_q32,0.07433789223432541
speedup_vs_vit4mal_fastest_0p81s,336.27270899434615
speedup_vs_vit4mal_recommended_1p48s,614.4242090267065
n_benchmark_runs,100
n_eval_samples,200
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
