key,shape,numel,float_min,float_max,q16_min,q16_max,max_q_err,in_range
backbone.position_embedding,"[1, 16, 16]",256,-0.26435500383377075,0.2589417099952698,-0.2646484375,0.2587890625,0.0004856288433074951,True
backbone.input_projection.weight,"[16, 64]",1024,-0.19132833182811737,0.2008565068244934,-0.19140625,0.201171875,0.0004882737994194031,True
backbone.input_projection.bias,[16],16,-0.1312219798564911,0.13226257264614105,-0.130859375,0.1318359375,0.0004712846130132675,True
backbone.layers.0.attention.query.weight,"[16, 16]",256,-1.2042344808578491,1.6102443933486938,-1.2041015625,1.6103515625,0.0004878705367445946,True
backbone.layers.0.attention.key.weight,"[16, 16]",256,-0.7402576208114624,0.8478437066078186,-0.740234375,0.84765625,0.0004794672131538391,True
backbone.layers.0.attention.value.weight,"[16, 16]",256,-0.4923308789730072,0.4322126507759094,-0.4921875,0.4326171875,0.0004863440990447998,True
backbone.layers.0.attention.output.weight,"[16, 16]",256,-0.48821061849594116,0.4922698736190796,-0.48828125,0.4921875,0.00048689544200897217,True
backbone.layers.0.attention.output.bias,[16],16,-0.028338899835944176,0.041333455592393875,-0.0283203125,0.041015625,0.00044789910316467285,True
backbone.layers.0.feedforward.0.weight,"[32, 16]",512,-0.5869386792182922,0.5492451786994934,-0.5869140625,0.548828125,0.00048348307609558105,True
backbone.layers.0.feedforward.0.bias,[32],32,-0.33767616748809814,0.19701415300369263,-0.337890625,0.197265625,0.00048488378524780273,True
backbone.layers.0.feedforward.3.weight,"[16, 32]",512,-0.38886958360671997,0.4738999605178833,-0.388671875,0.4736328125,0.00048801302909851074,True
backbone.layers.0.feedforward.3.bias,[16],16,-0.22694852948188782,0.16705192625522614,-0.2265625,0.1669921875,0.0004598349332809448,True
backbone.layers.0.norm1.weight,[16],16,0.915851891040802,1.1464582681655884,0.916015625,1.146484375,0.0004780292510986328,True
backbone.layers.0.norm1.bias,[16],16,-0.0732085257768631,0.0618913434445858,-0.0732421875,0.0615234375,0.00047393515706062317,True
backbone.layers.0.norm2.weight,[16],16,0.6952507495880127,1.2436951398849487,0.6953125,1.244140625,0.00047653913497924805,True
backbone.layers.0.norm2.bias,[16],16,-0.029471756890416145,0.0619780570268631,-0.029296875,0.0615234375,0.00048289448022842407,True
backbone.output_norm.weight,[16],16,0.9521280527114868,1.3728517293930054,0.9521484375,1.373046875,0.0004252195358276367,True
backbone.output_norm.bias,[16],16,-0.11132600903511047,0.08949505537748337,-0.111328125,0.08984375,0.00040393322706222534,True
backbone.classifier.weight,"[2, 16]",32,-0.3929155766963959,0.5458113551139832,-0.392578125,0.5458984375,0.0004812702536582947,True
backbone.classifier.bias,[2],2,-0.1411662995815277,-0.06892646849155426,-0.1416015625,-0.0693359375,0.00043526291847229004,True
