module,BRAM_18K,DSP,FF,LUT,URAM
imgds_linear_dense_q16 (top),17,2639,89690,146862,0
imgds_linear_dense_q16_Pipeline_VITIS_LOOP_252_1,1,610,17395,28273,0
linear_attention_q16,12,1234,55438,88007,0
layer_norm_q16,0,14,1419,3040,0
feedforward_q16,0,741,12923,21131,0
imgds_linear_dense_q16_Pipeline_VITIS_LOOP_301_7,0,0,73,227,0
layer_norm_q16_1,0,14,1338,3286,0
imgds_linear_dense_q16_Pipeline_VITIS_LOOP_301_77,0,0,73,227,0
imgds_linear_dense_q16_Pipeline_VITIS_LOOP_301_78,0,0,73,227,0
imgds_linear_dense_q16_Pipeline_VITIS_LOOP_301_79,0,0,73,227,0
fdiv_32ns_32ns_32_16_no_dsp_1,0,0,0,0,0
fpext_32ns_64_2_no_dsp_1,0,0,0,0,0
PYNQ-Z2_available,280,220,106400,53200,0
PYNQ-Z2_utilization_pct,6,1199,84,276,0
