metric,original_ap_memory,axi_m_axi_s_axilite,delta,pynq_z2_limit,pynq_z2_fit
BRAM,13,13,0,280,TRUE
DSP,156,156,0,220,TRUE
FF,9484,11458,+1974,106400,TRUE
LUT,22056,25402,+3346,53200,TRUE
latency_cycles,74084,75627,+1543,NA,NA
latency_us_at_100MHz,740.84,756.27,+15.43,NA,NA
estimated_fmax_mhz,126.53,126.53,0,NA,NA
csim_match_rate_vs_q32,0.9850,0.9850,0,NA,NA
hw_label_accuracy,0.9450,0.9450,0,NA,NA
csim_status,PASS_RELAXED,PASS_RELAXED,same,NA,NA
csynth_status,PASS,PASS,same,NA,NA
interface,ap_memory,m_axi+s_axilite,PYNQ-friendly,NA,NA
export_ip_catalog,FALSE,TRUE,now_available,NA,NA
