metric,value
model_id,small_B
d_model,8
ff_dim,16
quant_bits,16
vivado_lut,13095
vivado_dsp,98
vivado_ff,12154
vivado_bram,11
software_accuracy,0.9518
io_dtype,int16 (ap_fixed<16,6>)
fp_scale,1024
n_sanity_samples,1
n_correctness_samples,3444
prediction_match_rate_vs_small_B_ref,0.9715
hw_label_accuracy,0.9396
ref_label_accuracy,0.9518
max_abs_error_vs_small_B_ref,0.4222
mean_abs_error_vs_small_B_ref,0.0743
kernel_runtime_mean_us_100runs,452.8318
kernel_runtime_std_us_100runs,7.9241
kernel_runtime_mean_us_1000runs,454.9242
kernel_runtime_std_us_1000runs,8.4795
total_runtime_mean_us_correctness,1566713.5
throughput_samples_per_sec,172.58
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
nan_count_full_test,0
inf_count_full_test,0
speedup_vs_ViT4Mal_fastest,1780.51
speedup_vs_ViT4Mal_recommended,3253.29
notes,small_B (d=8/ff=16) PYNQ-Z2 measured. 3444 samples. ref_acc=0.9518. HW acc=0.9396. Match vs ref=0.9715. Latency=454.92us. Throughput=172.58 samples/s.
