channel,q_active_frequency,k_active_frequency,q_mean_phi_activation,k_mean_phi_activation,q_denominator_contribution,k_denominator_contribution,q_logit_sensitivity,k_logit_sensitivity,q_f1_sensitivity,k_f1_sensitivity,q_score,k_score,combined_score
15,0.99121094,0.9902344,1.0054212,1.0189474,8.135729,8.135729,0.30711644887924194,0.30711644887924194,0.0,0.0,3.5792946599279465,2.8177559584872944,3.1985253092076205
13,0.9897461,0.9897461,0.99406636,1.0577648,8.341457,8.341457,0.1248457208275795,0.1248457208275795,0.0,0.0,2.7831139074177633,2.3671907038197557,2.5751523056187597
11,0.9897461,0.9902344,0.9551642,1.0153573,7.6940126,7.694012,0.12783348560333252,0.12783348560333252,0.004798818752307116,0.004798818752307116,2.4399295124726113,2.69870795844659,2.5693187354596008
7,0.9897461,0.9897461,1.0058222,1.0216334,8.114296,8.114296,0.14204327762126923,0.14204327762126923,0.0,0.0,2.802793330505344,1.9091134290673286,2.355953379786336
10,0.9863281,0.99072266,1.0028905,0.950108,7.52227,7.52227,0.1484641134738922,0.1484641134738922,0.0032242063492063655,0.0032242063492063655,2.380500370989668,2.0937717289109194,2.2371360499502937
4,0.9916992,0.99072266,1.0032727,0.95355034,7.603572,7.603572,0.0940832793712616,0.0940832793712616,0.0016247969003874707,0.0016247969003874707,2.638798741257532,1.6843729645103496,2.161585852883941
3,0.9897461,0.9897461,1.0105848,0.98095787,7.84608,7.84608,0.1906377673149109,0.1906377673149109,0.0,0.0,2.7681653424994694,1.4816598475269647,2.124912595013217
5,0.9902344,0.9897461,1.0050491,1.0133872,8.050888,8.050888,0.02744586206972599,0.02744586206972599,0.0,0.0,2.386855658653249,1.380799202681319,1.883827430667284
8,0.9897461,0.9902344,1.0051877,0.9820086,7.7926936,7.792694,0.07610062509775162,0.07610062509775162,0.0,0.0,2.2214273907347213,1.368683744048497,1.795055567391609
12,0.9838867,0.99121094,0.9910277,0.9785032,7.636527,7.636527,0.1540871262550354,0.1540871262550354,0.0,0.0,1.3339312213391177,2.113416543803922,1.7236738825715197
6,0.9897461,0.9897461,1.0038592,0.9694914,7.7219434,7.721943,0.12053431570529938,0.12053431570529938,0.0,0.0,2.277808109215454,1.0186760996971453,1.6482421044562996
2,0.9897461,0.9897461,1.0070231,0.977595,7.7835317,7.783532,0.042068541049957275,0.042068541049957275,0.0,0.0,2.124961067907343,0.8736884962718325,1.4993247820895879
14,0.9902344,0.9897461,1.0093989,0.97299975,7.7705884,7.770589,0.019082235172390938,0.019082235172390938,0.0,0.0,2.1345796819148215,0.7449694388751708,1.439774560394996
0,0.9902344,0.9897461,1.0116796,0.94980854,7.6056657,7.6056657,0.06380470097064972,0.06380470097064972,0.0,0.0,2.1537284600638738,0.5475890617735721,1.3506587609187228
9,0.9897461,0.9897461,1.0071061,0.92710096,7.3999033,7.3999033,0.16662177443504333,0.16662177443504333,0.0,0.0,2.1513647915245446,0.5122292152862502,1.3317970034053974
1,0.9897461,0.9897461,1.0135826,0.94306463,7.5744414,7.574441,0.027849435806274414,0.027849435806274414,0.0,0.0,1.9658104507039107,0.33798358460198297,1.1518970176529468
