method,score_type,selection_type,fixed_k,mean_active_tokens,effective_sparsity,accuracy,precision,recall,f1,prediction_match_rate_vs_dense,max_abs_error,mean_abs_error,mac_reduction_ratio,memory_read_reduction_ratio,selection_before_input_projection
Q16-ESLA-input,input_mean_abs,fixed_topk_preprojection,14,14.0,0.125,0.9335075493612079,0.977512297962052,0.9440108585001696,0.9604695321940273,0.9834494773519163,1.9299814701080322,0.4312685430049896,0.1249305941143809,0.08787128712871284,True
Q16-ESLA-input,input_mean_abs,fixed_topk_preprojection,13,13.0,0.1875,0.9320557491289199,0.9784832451499118,0.9412962334577536,0.959529574541681,0.9790940766550522,2.875877618789673,0.6578953266143799,0.1873958911715713,0.15160891089108908,True
Q16-ESLA-input,input_mean_abs,fixed_topk_preprojection,12,12.0,0.25,0.924506387921022,0.9782840868636525,0.9324737020699015,0.9548297428769978,0.9709639953542393,3.636974811553955,0.8580438494682312,0.2498611882287618,0.21534653465346532,True
Q16-ESLA-input,input_mean_abs,fixed_topk_preprojection,11,11.0,0.3125,0.8449477351916377,0.9789599047240969,0.8367831693247371,0.9023051591657519,0.8873403019744484,4.20782995223999,1.049270749092102,0.3123264852859522,0.27908415841584155,True
Q16-ESLA-input,input_mean_abs,fixed_topk_preprojection,10,10.0,0.375,0.8072009291521487,0.9778149853495186,0.7926705123854768,0.8755622188905547,0.8466898954703833,4.602013111114502,1.220699667930603,0.3747917823431427,0.3428217821782178,True
Q16-ESLA-input,input_l2,fixed_topk_preprojection,14,14.0,0.125,0.9337979094076655,0.9771849771849772,0.9446895147607737,0.9606625258799173,0.9849012775842044,1.8514108657836914,0.4017912447452545,0.10716268739589119,0.08787128712871284,True
Q16-ESLA-input,input_l2,fixed_topk_preprojection,13,13.0,0.1875,0.9323461091753774,0.978490832157969,0.9416355615880556,0.9597094933425557,0.9811265969802555,2.831162691116333,0.5773080587387085,0.16962798445308158,0.15160891089108908,True
Q16-ESLA-input,input_l2,fixed_topk_preprojection,12,12.0,0.25,0.9262485481997678,0.9776516495211067,0.9351883271123176,0.9559486645855012,0.9744483159117305,3.3794803619384766,0.8143253922462463,0.2320932815102721,0.21534653465346532,True
Q16-ESLA-input,input_l2,fixed_topk_preprojection,11,11.0,0.3125,0.8966318234610917,0.9785740672330994,0.8988802171700034,0.9370357269189954,0.9413472706155633,4.20782995223999,0.9978671073913574,0.2945585785674625,0.27908415841584155,True
Q16-ESLA-input,input_l2,fixed_topk_preprojection,10,10.0,0.375,0.837979094076655,0.9768463073852296,0.830335934848999,0.8976522377109317,0.8803716608594657,4.602013111114502,1.232698678970337,0.357023875624653,0.3428217821782178,True
Q16-ESLA-input,input_delta_mean_abs,fixed_topk_preprojection,14,14.0,0.125,0.9256678281068524,0.978996084015664,0.9331523583305056,0.9555246699096595,0.9738675958188153,1.8710496425628662,0.3651948571205139,0.1249305941143809,0.08787128712871284,True
Q16-ESLA-input,input_delta_mean_abs,fixed_topk_preprojection,13,13.0,0.1875,0.9155052264808362,0.9787310742609949,0.9212758737699356,0.9491347666491872,0.9631242740998839,2.995331287384033,0.48317432403564453,0.1873958911715713,0.15160891089108908,True
Q16-ESLA-input,input_delta_mean_abs,fixed_topk_preprojection,12,12.0,0.25,0.9137630662020906,0.9793777134587555,0.9185612487275195,0.947995097180879,0.9596399535423926,2.815636396408081,0.5850292444229126,0.2498611882287618,0.21534653465346532,True
Q16-ESLA-input,input_delta_mean_abs,fixed_topk_preprojection,11,11.0,0.3125,0.912020905923345,0.9793328498912255,0.9165252799457075,0.946888694127958,0.9573170731707317,3.327864408493042,0.6570143103599548,0.3123264852859522,0.27908415841584155,True
Q16-ESLA-input,input_delta_mean_abs,fixed_topk_preprojection,10,10.0,0.375,0.9108594657375145,0.98,0.9144893111638955,0.9461119887660172,0.955574912891986,3.5740623474121094,0.7335132360458374,0.3747917823431427,0.3428217821782178,True
