method,score_type,selection_type,target_active_ratio,sample_index,active_token_num,skipped_token_num,prediction,dense_prediction,label
Q16-ESLA,k,topk,0.7,0,12,4,0,0,0
Q16-ESLA,k,topk,0.7,1,12,4,1,1,1
Q16-ESLA,k,topk,0.7,2,12,4,1,1,1
Q16-ESLA,k,topk,0.7,3,12,4,0,0,1
Q16-ESLA,k,topk,0.7,4,12,4,1,1,1
Q16-ESLA,k,topk,0.7,5,12,4,1,1,1
Q16-ESLA,k,topk,0.7,6,12,4,1,1,1
Q16-ESLA,k,topk,0.7,7,12,4,1,1,1
Q16-ESLA,k,topk,0.7,8,12,4,1,1,1
Q16-ESLA,k,topk,0.7,9,12,4,1,1,1
Q16-ESLA,k,topk,0.7,10,12,4,1,1,1
Q16-ESLA,k,topk,0.7,11,12,4,1,1,1
Q16-ESLA,k,topk,0.7,12,12,4,1,1,1
Q16-ESLA,k,topk,0.7,13,12,4,1,1,1
Q16-ESLA,k,topk,0.7,14,12,4,1,1,1
Q16-ESLA,k,topk,0.7,15,12,4,1,1,1
Q16-ESLA,k,topk,0.7,16,12,4,1,1,1
Q16-ESLA,k,topk,0.7,17,12,4,1,1,1
Q16-ESLA,k,topk,0.7,18,12,4,1,1,1
Q16-ESLA,k,topk,0.7,19,12,4,0,1,1
Q16-ESLA,k,topk,0.7,20,12,4,1,1,1
Q16-ESLA,k,topk,0.7,21,12,4,1,1,1
Q16-ESLA,k,topk,0.7,22,12,4,1,1,1
Q16-ESLA,k,topk,0.7,23,12,4,1,1,1
Q16-ESLA,k,topk,0.7,24,12,4,1,1,1
Q16-ESLA,k,topk,0.7,25,12,4,1,1,1
Q16-ESLA,k,topk,0.7,26,12,4,1,1,1
Q16-ESLA,k,topk,0.7,27,12,4,0,0,0
Q16-ESLA,k,topk,0.7,28,12,4,1,1,1
Q16-ESLA,k,topk,0.7,29,12,4,1,1,1
Q16-ESLA,k,topk,0.7,30,12,4,1,1,1
Q16-ESLA,k,topk,0.7,31,12,4,1,1,1
Q16-ESLA,k,topk,0.7,32,12,4,1,1,1
Q16-ESLA,k,topk,0.7,33,12,4,1,1,1
Q16-ESLA,k,topk,0.7,34,12,4,0,0,0
Q16-ESLA,k,topk,0.7,35,12,4,1,1,1
Q16-ESLA,k,topk,0.7,36,12,4,0,0,0
Q16-ESLA,k,topk,0.7,37,12,4,1,1,1
Q16-ESLA,k,topk,0.7,38,12,4,1,1,1
Q16-ESLA,k,topk,0.7,39,12,4,1,1,1
Q16-ESLA,k,topk,0.7,40,12,4,0,0,0
Q16-ESLA,k,topk,0.7,41,12,4,1,1,1
Q16-ESLA,k,topk,0.7,42,12,4,1,1,1
Q16-ESLA,k,topk,0.7,43,12,4,0,0,0
Q16-ESLA,k,topk,0.7,44,12,4,1,1,1
Q16-ESLA,k,topk,0.7,45,12,4,1,1,1
Q16-ESLA,k,topk,0.7,46,12,4,1,1,1
Q16-ESLA,k,topk,0.7,47,12,4,1,1,1
Q16-ESLA,k,topk,0.7,48,12,4,1,1,1
Q16-ESLA,k,topk,0.7,49,12,4,1,1,1
Q16-ESLA,k,topk,0.7,50,12,4,1,1,1
Q16-ESLA,k,topk,0.7,51,12,4,1,1,1
Q16-ESLA,k,topk,0.7,52,12,4,1,1,1
Q16-ESLA,k,topk,0.7,53,12,4,1,1,1
Q16-ESLA,k,topk,0.7,54,12,4,1,1,1
Q16-ESLA,k,topk,0.7,55,12,4,1,1,1
Q16-ESLA,k,topk,0.7,56,12,4,1,1,1
Q16-ESLA,k,topk,0.7,57,12,4,0,0,0
Q16-ESLA,k,topk,0.7,58,12,4,1,1,1
Q16-ESLA,k,topk,0.7,59,12,4,1,1,1
Q16-ESLA,k,topk,0.7,60,12,4,1,1,1
Q16-ESLA,k,topk,0.7,61,12,4,0,0,0
Q16-ESLA,k,topk,0.7,62,12,4,1,1,1
Q16-ESLA,k,topk,0.7,63,12,4,0,0,0
Q16-ESLA,k,topk,0.7,64,12,4,1,1,1
Q16-ESLA,k,topk,0.7,65,12,4,0,0,0
Q16-ESLA,k,topk,0.7,66,12,4,1,1,1
Q16-ESLA,k,topk,0.7,67,12,4,0,0,0
Q16-ESLA,k,topk,0.7,68,12,4,1,1,1
Q16-ESLA,k,topk,0.7,69,12,4,1,1,1
Q16-ESLA,k,topk,0.7,70,12,4,1,1,1
Q16-ESLA,k,topk,0.7,71,12,4,0,1,1
Q16-ESLA,k,topk,0.7,72,12,4,1,1,1
Q16-ESLA,k,topk,0.7,73,12,4,0,0,1
Q16-ESLA,k,topk,0.7,74,12,4,1,1,1
Q16-ESLA,k,topk,0.7,75,12,4,1,1,1
Q16-ESLA,k,topk,0.7,76,12,4,0,0,0
Q16-ESLA,k,topk,0.7,77,12,4,1,1,1
Q16-ESLA,k,topk,0.7,78,12,4,1,1,1
Q16-ESLA,k,topk,0.7,79,12,4,1,1,1
Q16-ESLA,k,topk,0.7,80,12,4,0,0,0
Q16-ESLA,k,topk,0.7,81,12,4,0,0,0
Q16-ESLA,k,topk,0.7,82,12,4,1,1,1
Q16-ESLA,k,topk,0.7,83,12,4,1,1,1
Q16-ESLA,k,topk,0.7,84,12,4,1,1,1
Q16-ESLA,k,topk,0.7,85,12,4,1,1,1
Q16-ESLA,k,topk,0.7,86,12,4,1,1,0
Q16-ESLA,k,topk,0.7,87,12,4,1,1,1
Q16-ESLA,k,topk,0.7,88,12,4,1,1,1
Q16-ESLA,k,topk,0.7,89,12,4,1,1,1
Q16-ESLA,k,topk,0.7,90,12,4,1,1,1
Q16-ESLA,k,topk,0.7,91,12,4,0,0,1
Q16-ESLA,k,topk,0.7,92,12,4,1,1,1
Q16-ESLA,k,topk,0.7,93,12,4,1,1,1
Q16-ESLA,k,topk,0.7,94,12,4,1,1,1
Q16-ESLA,k,topk,0.7,95,12,4,1,1,1
Q16-ESLA,k,topk,0.7,96,12,4,1,1,1
Q16-ESLA,k,topk,0.7,97,12,4,1,1,1
Q16-ESLA,k,topk,0.7,98,12,4,1,1,1
Q16-ESLA,k,topk,0.7,99,12,4,1,1,1
Q16-ESLA,k,topk,0.7,100,12,4,1,1,1
Q16-ESLA,k,topk,0.7,101,12,4,1,1,1
Q16-ESLA,k,topk,0.7,102,12,4,1,1,1
Q16-ESLA,k,topk,0.7,103,12,4,1,1,1
Q16-ESLA,k,topk,0.7,104,12,4,0,0,1
Q16-ESLA,k,topk,0.7,105,12,4,1,1,1
Q16-ESLA,k,topk,0.7,106,12,4,0,0,1
Q16-ESLA,k,topk,0.7,107,12,4,0,0,1
Q16-ESLA,k,topk,0.7,108,12,4,1,1,1
Q16-ESLA,k,topk,0.7,109,12,4,1,1,1
Q16-ESLA,k,topk,0.7,110,12,4,0,0,0
Q16-ESLA,k,topk,0.7,111,12,4,1,1,1
Q16-ESLA,k,topk,0.7,112,12,4,1,1,1
Q16-ESLA,k,topk,0.7,113,12,4,1,1,1
Q16-ESLA,k,topk,0.7,114,12,4,1,1,1
Q16-ESLA,k,topk,0.7,115,12,4,1,1,1
Q16-ESLA,k,topk,0.7,116,12,4,1,1,1
Q16-ESLA,k,topk,0.7,117,12,4,0,0,0
Q16-ESLA,k,topk,0.7,118,12,4,1,1,1
Q16-ESLA,k,topk,0.7,119,12,4,0,1,1
Q16-ESLA,k,topk,0.7,120,12,4,1,1,1
Q16-ESLA,k,topk,0.7,121,12,4,1,1,1
Q16-ESLA,k,topk,0.7,122,12,4,1,1,1
Q16-ESLA,k,topk,0.7,123,12,4,1,1,1
Q16-ESLA,k,topk,0.7,124,12,4,0,0,0
Q16-ESLA,k,topk,0.7,125,12,4,1,1,1
Q16-ESLA,k,topk,0.7,126,12,4,1,1,1
Q16-ESLA,k,topk,0.7,127,12,4,1,1,1
Q16-ESLA,k,topk,0.7,128,12,4,1,1,1
Q16-ESLA,k,topk,0.7,129,12,4,1,1,0
Q16-ESLA,k,topk,0.7,130,12,4,0,0,0
Q16-ESLA,k,topk,0.7,131,12,4,1,1,1
Q16-ESLA,k,topk,0.7,132,12,4,1,1,1
Q16-ESLA,k,topk,0.7,133,12,4,1,1,1
Q16-ESLA,k,topk,0.7,134,12,4,0,0,0
Q16-ESLA,k,topk,0.7,135,12,4,1,1,1
Q16-ESLA,k,topk,0.7,136,12,4,1,1,1
Q16-ESLA,k,topk,0.7,137,12,4,1,1,1
Q16-ESLA,k,topk,0.7,138,12,4,0,0,0
Q16-ESLA,k,topk,0.7,139,12,4,1,1,1
Q16-ESLA,k,topk,0.7,140,12,4,0,0,0
Q16-ESLA,k,topk,0.7,141,12,4,1,1,1
Q16-ESLA,k,topk,0.7,142,12,4,1,1,1
Q16-ESLA,k,topk,0.7,143,12,4,1,1,1
Q16-ESLA,k,topk,0.7,144,12,4,1,1,1
Q16-ESLA,k,topk,0.7,145,12,4,1,1,1
Q16-ESLA,k,topk,0.7,146,12,4,1,1,1
Q16-ESLA,k,topk,0.7,147,12,4,1,1,1
Q16-ESLA,k,topk,0.7,148,12,4,1,1,1
Q16-ESLA,k,topk,0.7,149,12,4,1,1,1
Q16-ESLA,k,topk,0.7,150,12,4,1,1,1
Q16-ESLA,k,topk,0.7,151,12,4,1,1,1
Q16-ESLA,k,topk,0.7,152,12,4,0,1,1
Q16-ESLA,k,topk,0.7,153,12,4,1,1,1
Q16-ESLA,k,topk,0.7,154,12,4,1,1,1
Q16-ESLA,k,topk,0.7,155,12,4,1,1,1
Q16-ESLA,k,topk,0.7,156,12,4,1,1,1
Q16-ESLA,k,topk,0.7,157,12,4,1,1,1
Q16-ESLA,k,topk,0.7,158,12,4,0,0,0
Q16-ESLA,k,topk,0.7,159,12,4,1,1,1
Q16-ESLA,k,topk,0.7,160,12,4,1,1,1
Q16-ESLA,k,topk,0.7,161,12,4,1,1,1
Q16-ESLA,k,topk,0.7,162,12,4,1,1,1
Q16-ESLA,k,topk,0.7,163,12,4,1,1,1
Q16-ESLA,k,topk,0.7,164,12,4,0,0,0
Q16-ESLA,k,topk,0.7,165,12,4,0,0,0
Q16-ESLA,k,topk,0.7,166,12,4,1,1,1
Q16-ESLA,k,topk,0.7,167,12,4,0,0,0
Q16-ESLA,k,topk,0.7,168,12,4,1,1,1
Q16-ESLA,k,topk,0.7,169,12,4,0,0,0
Q16-ESLA,k,topk,0.7,170,12,4,1,1,0
Q16-ESLA,k,topk,0.7,171,12,4,0,1,1
