metric,value
model_id,Ours-Q16-S0-AttnSparse
code_name,q16_s0_attn_sparse
d_model,16
ff_dim,32
quant_bits,16
active_dim,16
effective_sparsity,0%
vivado_lut,14004
vivado_dsp,156
vivado_ff,12903
vivado_bram,15
hw_label_accuracy,0.941347
ref_label_accuracy,0.941928
precision,0.978723
recall,0.952155
f1,0.965256
prediction_match_rate,0.992451
max_abs_error,0.5607618
mean_abs_error,0.07329194
nan_samples,0
inf_samples,0
latency_us_100runs,851.4716
latency_us_1000runs,843.1539
latency_std_1000runs,4.1379
total_runtime_us,7381606.54
throughput_samples_per_sec,466.57
speedup_vs_ViT4Mal_fastest_810ms,960.68
speedup_vs_ViT4Mal_recommended_1480ms,1755.31
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
per_sample_verified,True
notes,Q16 S0. LUT=14004 DSP=156 hw_acc=0.9413 F1=0.9653 latency=843.15us.
