experiment_id,quant_bits,sparsity_percent,active_dim,active_channels,accuracy,prediction_match_rate_vs_q32,hls_eligible,hls_priority,est_vivado_lut,hls_reason
e1_q16_s0_attn_only,16,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.944251,0.997677,True,HIGH,14004,"acc=94.43%>=92.41%, match=0.9977>=0.97"
e1_q16_s5_attn_only,16,5,15,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.95151,0.989837,True,HIGH,13128,"acc=95.15%>=92.41%, match=0.9898>=0.97"
e1_q16_s10_attn_only,16,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.9518,0.988966,True,HIGH,12253,"acc=95.18%>=92.41%, match=0.9890>=0.97"
e1_q16_s15_attn_only,16,15,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.9518,0.988966,True,HIGH,12253,"acc=95.18%>=92.41%, match=0.9890>=0.97"
e1_q16_s20_attn_only,16,20,13,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.95151,0.988676,True,HIGH,11378,"acc=95.15%>=92.41%, match=0.9887>=0.97"
e1_q16_s30_attn_only,16,30,11,"[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.952091,0.988676,True,HIGH,9627,"acc=95.21%>=92.41%, match=0.9887>=0.97"
e1_q8_s0_attn_only,8,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.909988,0.950058,False,LOW,7002,acc=91.00%<92.41%
e1_q8_s5_attn_only,8,5,15,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.910859,0.95151,False,LOW,6564,acc=91.09%<92.41%
e1_q8_s10_attn_only,8,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912602,0.953252,False,LOW,6126,acc=91.26%<92.41%
e1_q8_s15_attn_only,8,15,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912602,0.953252,False,LOW,6126,acc=91.26%<92.41%
e1_q8_s20_attn_only,8,20,13,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.913473,0.954123,False,LOW,5689,acc=91.35%<92.41%
