experiment_id,quant_bits,sparsity_percent,active_dim,active_channels,accuracy,precision,recall,f1,auc,prediction_match_rate_vs_q32,max_logit_error_vs_q32,mean_logit_error_vs_q32,sparse_type,status,notes
e1_q16_s0_attn_only,16,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.944251,0.977139,0.957245,0.967089,0.979097,0.997677,0.050032,0.009589,attention_only_qk_active_channel,SUCCESS,
e1_q16_s5_attn_only,16,5,15,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.95151,0.977008,0.966067,0.971507,0.979043,0.989837,0.143046,0.037541,attention_only_qk_active_channel,SUCCESS,
e1_q16_s10_attn_only,16,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.9518,0.976688,0.966746,0.971692,0.979008,0.988966,0.223849,0.06328,attention_only_qk_active_channel,SUCCESS,
e1_q16_s15_attn_only,16,15,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.9518,0.976688,0.966746,0.971692,0.979008,0.988966,0.223849,0.06328,attention_only_qk_active_channel,SUCCESS,
e1_q16_s20_attn_only,16,20,13,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.95151,0.976354,0.966746,0.971526,0.978841,0.988676,0.284326,0.077035,attention_only_qk_active_channel,SUCCESS,
e1_q16_s30_attn_only,16,30,11,"[3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.952091,0.976696,0.967085,0.971867,0.978925,0.988676,0.239484,0.071525,attention_only_qk_active_channel,SUCCESS,
e1_q8_s0_attn_only,8,0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.909988,0.987071,0.906685,0.945172,0.975136,0.950058,2.115893,0.613163,attention_only_qk_active_channel,SUCCESS,
e1_q8_s5_attn_only,8,5,15,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.910859,0.986726,0.908042,0.94575,0.975064,0.95151,2.152073,0.621863,attention_only_qk_active_channel,SUCCESS,
e1_q8_s10_attn_only,8,10,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912602,0.986755,0.910078,0.946867,0.975099,0.953252,2.171929,0.628991,attention_only_qk_active_channel,SUCCESS,
e1_q8_s15_attn_only,8,15,14,"[0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.912602,0.986755,0.910078,0.946867,0.975099,0.953252,2.171929,0.628991,attention_only_qk_active_channel,SUCCESS,
e1_q8_s20_attn_only,8,20,13,"[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15]",0.913473,0.98677,0.911096,0.947424,0.975104,0.954123,2.176093,0.631689,attention_only_qk_active_channel,SUCCESS,
