experiment_id,quant_bits,quant_type,sparsity_percent,active_dim,accuracy,prediction_match_rate_vs_q32,hls_candidate,hls_reason,lut_reduction_potential,priority_rank
e1_q32_s0,32,float32,0,16,0.941928,1.0,False,Float32 reference,"HLS est: ~25402 LUT, Vivado est: ~14004 LUT",999
e1_q32_s10,32,float32,10,14,0.858595,0.887631,False,Float32 reference,"HLS est: ~22226 LUT, Vivado est: ~12253 LUT",999
e1_q32_s30,32,float32,30,11,0.770325,0.79007,False,Float32 reference,"HLS est: ~17463 LUT, Vivado est: ~9627 LUT",999
e1_q32_s50,32,float32,50,8,0.816783,0.843496,False,Float32 reference,"HLS est: ~12701 LUT, Vivado est: ~7002 LUT",999
e1_q32_s70,32,float32,70,5,0.831591,0.821138,False,Float32 reference,"HLS est: ~7938 LUT, Vivado est: ~4376 LUT",999
e1_q32_s90,32,float32,90,2,0.849013,0.83043,False,Float32 reference,"HLS est: ~3175 LUT, Vivado est: ~1750 LUT",999
e1_q32_s100,32,float32,100,0,0.855691,0.835947,False,Zero-attention baseline,"HLS est: ~1587 LUT, Vivado est: ~875 LUT",999
e1_q16_s10,16,"ap_fixed<16,6>",10,14,0.858885,0.887921,False,Below threshold,"HLS est: ~22226 LUT, Vivado est: ~12253 LUT",999
e1_q16_s30,16,"ap_fixed<16,6>",30,11,0.771487,0.791231,False,Below threshold,"HLS est: ~17463 LUT, Vivado est: ~9627 LUT",999
e1_q16_s50,16,"ap_fixed<16,6>",50,8,0.817654,0.844367,False,Below threshold,"HLS est: ~12701 LUT, Vivado est: ~7002 LUT",999
e1_q16_s70,16,"ap_fixed<16,6>",70,5,0.834785,0.823751,False,Below threshold,"HLS est: ~7938 LUT, Vivado est: ~4376 LUT",999
e1_q16_s90,16,"ap_fixed<16,6>",90,2,0.849303,0.83072,False,Below threshold,"HLS est: ~3175 LUT, Vivado est: ~1750 LUT",999
e1_q16_s100,16,"ap_fixed<16,6>",100,0,0.855691,0.835947,False,Zero-attention baseline,"HLS est: ~1587 LUT, Vivado est: ~875 LUT",999
e1_q8_s10,8,"ap_fixed<8,4>",10,14,0.855981,0.886179,False,Below threshold,"HLS est: ~11113 LUT, Vivado est: ~6126 LUT",999
e1_q8_s30,8,"ap_fixed<8,4>",30,11,0.777584,0.796748,False,Below threshold,"HLS est: ~8731 LUT, Vivado est: ~4813 LUT",999
e1_q8_s50,8,"ap_fixed<8,4>",50,8,0.894599,0.91144,False,Below threshold,"HLS est: ~6350 LUT, Vivado est: ~3501 LUT",999
e1_q8_s70,8,"ap_fixed<8,4>",70,5,0.781359,0.775552,False,Below threshold,"HLS est: ~3969 LUT, Vivado est: ~2188 LUT",999
e1_q8_s90,8,"ap_fixed<8,4>",90,2,0.855401,0.836237,False,Below threshold,"HLS est: ~1587 LUT, Vivado est: ~875 LUT",999
e1_q8_s100,8,"ap_fixed<8,4>",100,0,0.855691,0.835947,False,Zero-attention baseline,"HLS est: ~793 LUT, Vivado est: ~437 LUT",999
e1_q4_s0,4,"ap_fixed<4,2>",0,16,0.67712,0.695703,False,Below threshold,"HLS est: ~6350 LUT, Vivado est: ~3501 LUT",999
e1_q4_s30,4,"ap_fixed<4,2>",30,11,0.901568,0.92712,False,Below threshold,"HLS est: ~4365 LUT, Vivado est: ~2406 LUT",999
e1_q4_s50,4,"ap_fixed<4,2>",50,8,0.775842,0.805459,False,Below threshold,"HLS est: ~3175 LUT, Vivado est: ~1750 LUT",999
e1_q4_s70,4,"ap_fixed<4,2>",70,5,0.853949,0.834204,False,Below threshold,"HLS est: ~1984 LUT, Vivado est: ~1094 LUT",999
e1_q4_s90,4,"ap_fixed<4,2>",90,2,0.855401,0.835656,False,Below threshold,"HLS est: ~793 LUT, Vivado est: ~437 LUT",999
e1_q4_s100,4,"ap_fixed<4,2>",100,0,0.855691,0.835947,False,Zero-attention baseline,"HLS est: ~396 LUT, Vivado est: ~218 LUT",999
e1_q4_s10,4,"ap_fixed<4,2>",10,14,0.916376,0.934379,True,Forced Q4 rep (best acc=0.9164),"HLS est: ~5556 LUT, Vivado est: ~3063 LUT",2.9908
e1_q8_s0,8,"ap_fixed<8,4>",0,16,0.909988,0.950058,True,acc=0.9100>=0.92 or match=0.9501>=0.95,"HLS est: ~12701 LUT, Vivado est: ~7002 LUT",1.2994
e1_q16_s0,16,"ap_fixed<16,6>",0,16,0.944251,0.997677,True,acc=0.9443>=0.92 or match=0.9977>=0.95,"HLS est: ~25402 LUT, Vivado est: ~14004 LUT",0.6742
