experiment_id,quant_bits,quant_type,sparsity_percent,active_dim,active_ratio,stage,software_eval_status,hls_csim_status,hls_csynth_status,vivado_status,pynq_status,lut_reduction_target,notes
e1_q32_s0,32,float32,0,16,1.0,SOFTWARE_REFERENCE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s10,32,float32,10,14,0.875,SOFTWARE_REFERENCE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s30,32,float32,30,11,0.6875,SOFTWARE_REFERENCE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s50,32,float32,50,8,0.5,SOFTWARE_REFERENCE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s70,32,float32,70,5,0.3125,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s90,32,float32,90,2,0.125,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q32_s100,32,float32,100,0,0.0,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s0,16,"ap_fixed<16,6>",0,16,1.0,PYNQ_MEASURED,DONE,DONE,DONE,DONE,DONE,,Completed: Q16 PARETO2-AXI; Vivado LUT=14004; PYNQ latency=2408.76us
e1_q16_s10,16,"ap_fixed<16,6>",10,14,0.875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s30,16,"ap_fixed<16,6>",30,11,0.6875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s50,16,"ap_fixed<16,6>",50,8,0.5,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s70,16,"ap_fixed<16,6>",70,5,0.3125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s90,16,"ap_fixed<16,6>",90,2,0.125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q16_s100,16,"ap_fixed<16,6>",100,0,0.0,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s0,8,"ap_fixed<8,4>",0,16,1.0,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s10,8,"ap_fixed<8,4>",10,14,0.875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s30,8,"ap_fixed<8,4>",30,11,0.6875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s50,8,"ap_fixed<8,4>",50,8,0.5,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s70,8,"ap_fixed<8,4>",70,5,0.3125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s90,8,"ap_fixed<8,4>",90,2,0.125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q8_s100,8,"ap_fixed<8,4>",100,0,0.0,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s0,4,"ap_fixed<4,2>",0,16,1.0,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s10,4,"ap_fixed<4,2>",10,14,0.875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s30,4,"ap_fixed<4,2>",30,11,0.6875,HLS_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s50,4,"ap_fixed<4,2>",50,8,0.5,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s70,4,"ap_fixed<4,2>",70,5,0.3125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s90,4,"ap_fixed<4,2>",90,2,0.125,SOFTWARE_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
e1_q4_s100,4,"ap_fixed<4,2>",100,0,0.0,SOFTWARE_ONLY_ABLATION,PENDING,PENDING,PENDING,PENDING,PENDING,,
