Group,Label,Accuracy,LUT,DSP,Latency_ms,Latency_us,Source,Note
ViT4Mal,ViT4Mal-4E4H,92.16,16135,69,2820,2820000,ViT4Mal Table 13,
ViT4Mal,ViT4Mal-4E2H,93.16,16200,69,2810,2810000,ViT4Mal Table 13,
ViT4Mal,ViT4Mal-2E4H (Rec),93.89,16079,69,1480,1480000,ViT4Mal Table 13,
ViT4Mal,ViT4Mal-2E2H,93.86,16219,69,1450,1450000,ViT4Mal Table 13,
ViT4Mal,ViT4Mal-1E4H,92.47,16029,69,870,870000,ViT4Mal Table 13,
ViT4Mal,ViT4Mal-1E2H (Fastest),92.41,16545,69,810,810000,ViT4Mal Table 13,
Ours-PYNQ,Dense-Q16,94.13,14004,156,0.9263135,926.3135,PYNQ-Z2 measured,Ours-Dense-Q16
Ours-PYNQ,Mid-Q16,95.5575,14687,150,0.679053211,679.053,PYNQ-Z2 measured,Ours-Mid-Q16
Ours-PYNQ,Compact-Q16,93.96,13095,98,0.4549242,454.924,PYNQ-Z2 measured,Ours-Compact-Q16
Ours-PYNQ,Tiny-Q16,94.8026,14001,104,0.361931997,361.932,PYNQ-Z2 measured,Ours-Tiny-Q16
Ours-PYNQ,Dense-Q8,90.9698,14019,124,0.929708188,929.708,PYNQ-Z2 measured,Ours-Dense-Q8
Ours-Sparse-SW,S0,94.43,25402,—,0.75627,756,HLS estimate @100MHz,"SW/HLS candidate, not PYNQ measured"
Ours-Sparse-SW,S10,95.18,25700,—,0.77645,776,HLS estimate @100MHz,"SW/HLS candidate, not PYNQ measured"
Ours-Sparse-SW,S20,95.15,25700,—,0.76374,763,HLS estimate @100MHz,"SW/HLS candidate, not PYNQ measured"
Ours-Sparse-SW,S30,95.21,25700,—,0.73832,738,HLS estimate @100MHz,"SW/HLS candidate, not PYNQ measured"
Ours-Quant,Q32 (SW ref),94.19,—,—,—,—,SW only,
Ours-Quant,Q16,94.13,—,—,—,—,PYNQ-Z2 measured,
Ours-Quant,Q8,90.97,—,—,—,—,PYNQ-Z2 measured,
Ours-Quant,Q4 (SW only),67.71,—,—,—,—,"SW only, not HLS-viable",
