metric,value
model_id,Ours-Q16-S10-AttnSparse
code_name,q16_s10_attn_sparse
quant_bits,16
effective_sparsity,12.5%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
warm_e2e_mean_us,20288.401314
warm_e2e_std_us,3952.669247
warm_e2e_min_us,15608.025000
warm_e2e_p50_us,19985.720500
warm_e2e_p95_us,26487.496250
warm_e2e_p99_us,27414.506120
warm_e2e_max_us,103617.292000
cold_start_latency_us,3998326.911000
accuracy,0.941057
precision,0.978049
recall,0.952494
f1,0.965102
prediction_match_rate,0.993902
preprocessing_feature_mismatches,0
preprocessing_max_abs_error_vs_npz,0.000000000
kernel_latency_us_1000runs,954.773148
application_latency_mean_us,2088.052272
vit4mal_fastest_latency_us,810000
vit4mal_selected_latency_us,1480000
speedup_vs_vit4mal_fastest_warm_e2e,39.924289
speedup_vs_vit4mal_selected_warm_e2e,72.948084
conservative_30x_threshold_us,27000
meets_30x_target,True
headline_speedup_claim,>30x
notes,"Warm E2E includes raw JPEG file I/O/decode, grayscale conversion, 32x32 bilinear resize, normalization, 8x8 patch transform, Q6.10 host quantization, PYNQ buffer transfer, FPGA execution, output read/dequantization, and argmax. Overlay/buffer initialization is excluded from warm E2E and reported separately as cold start."
