metric,value
model_id,Ours-Q16-S20-AttnSparse
d_model,16
ff_dim,32
quant_bits,16
vivado_lut,TBD
vivado_dsp,TBD
vivado_ff,TBD
vivado_bram,TBD
software_accuracy,0.9515
io_dtype,"int16 (ap_fixed<16,6>)"
fp_scale,1024
n_correctness_samples,3444
prediction_match_rate_vs_Q16_ref,0.994483
hw_label_accuracy,0.942218
ref_label_accuracy,0.941928
max_abs_error_vs_Q16_ref,0.5384091
mean_abs_error_vs_Q16_ref,0.08607195
nan_samples,0
inf_samples,0
kernel_runtime_mean_us_100runs,940.52434
kernel_runtime_std_us_100runs,7.838701
kernel_runtime_mean_us_1000runs,939.254582
kernel_runtime_std_us_1000runs,8.420691
total_runtime_mean_us_correctness,22419938.274
throughput_samples_per_sec,153.613269
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
speedup_vs_ViT4Mal_fastest,862.385998
speedup_vs_ViT4Mal_recommended,1575.717626
notes,"Ours-Q16-S20-AttnSparse (d=16/ff=32) PYNQ-Z2 full-test (3444 samples). ref_acc=0.9419. HW acc=0.9422. Match=0.9945. latency=939.25us. int16 I/O (ap_fixed<16,6>)."
speedup_vs_ViT4Mal_fastest_0p81s,862.385998
speedup_vs_ViT4Mal_recommended_1p48s,1575.717626
vit4mal_fastest_latency_us,810000.0
vit4mal_recommended_latency_us,1480000.0
speedup_formula,ViT4Mal_single_sample_latency_us / ours_latency_us_1000runs
speedup_note,"Corrected speedup uses per-sample PYNQ measured 1000-run mean kernel latency, not total correctness runtime."
