sample_id,csim_score
0,-0.794972
1,-0.75025
2,-1.26796
3,-1.45948
4,-1.46765
5,-1.43519
6,-1.02817
7,-1.05448
8,-1.65721
9,-1.73464
10,-1.74626
11,-1.78849
12,-1.76459
13,-0.976417
14,-1.22737
15,-0.949664
16,-0.303766
17,-0.304433
18,-0.0323858
19,-0.0477314
20,0.160018
21,-0.194509
22,-1.33952
23,-1.14683
24,-0.927675
25,-0.667783
26,-0.674734
27,-0.657545
28,-0.646398
29,-1.0921
30,-0.949752
31,-0.888153
32,-0.893903
33,-1.32608
34,-0.934888
35,-0.92935
36,-0.903592
37,-0.895337
38,-0.879332
39,-1.23786
40,-1.23164
41,-1.27481
42,-1.29494
43,-1.26939
44,-1.27164
45,-1.32226
46,-1.04219
47,-1.02407
48,-1.00935
49,-1.05325
50,-1.45529
51,-1.45149
52,-1.46069
53,-1.43711
54,-0.926913
55,-0.393221
56,-0.386006
57,-0.350106
58,-0.591836
59,-0.607309
60,-1.07409
61,-2.58871
62,-3.09789
63,-3.04086
64,-2.77488
65,-2.75359
66,-1.18652
67,-1.15733
68,-1.17564
69,-1.18313
70,-1.14167
71,-1.43847
72,-1.43921
73,-1.48146
74,-2.61213
75,-2.37783
76,-2.35658
77,-2.62902
78,-2.59676
79,-2.61578
80,-2.45657
81,-2.41988
82,-2.38766
83,-2.56215
84,-2.59312
85,-2.44724
86,-3.2151
87,-2.93361
88,-2.95772
89,-3.18201
90,-3.18333
91,-1.24587
92,-1.23785
93,-1.24957
94,-1.22422
95,-1.23768
96,-1.23692
97,-1.10279
98,-1.16969
99,-2.52923
