sample_id,csim_score
0,-0.794972
1,-0.75025
2,-1.26796
3,-1.45948
4,-1.46765
5,-1.43519
6,-1.02817
7,-1.05448
8,-1.65721
9,-1.73464
10,-1.74626
11,-1.78849
12,-1.76459
13,-0.976417
14,-1.22737
15,-0.949664
16,-0.303766
17,-0.304433
18,-0.0323858
19,-0.0477314
20,0.160018
21,-0.194509
22,-1.33952
23,-1.14683
24,-0.927675
25,-0.667783
26,-0.674734
27,-0.657545
28,-0.646398
29,-1.0921
30,-0.949752
31,-0.888153
32,-0.893903
33,-1.32608
34,-0.934888
35,-0.92935
36,-0.903592
37,-0.895337
38,-0.879332
39,-1.23786
40,-1.23164
41,-1.27481
42,-1.29494
43,-1.26939
44,-1.27164
45,-1.32226
46,-1.04219
47,-1.02407
48,-1.00935
49,-1.05325
50,-1.45529
51,-1.45149
52,-1.46069
53,-1.43711
54,-0.926913
55,-0.393221
56,-0.386006
57,-0.350106
58,-0.591836
59,-0.607309
60,-1.07409
61,-2.58871
62,-3.09789
63,-3.04086
64,-2.77488
65,-2.75359
66,-1.18652
67,-1.15733
68,-1.17564
69,-1.18313
70,-1.14167
71,-1.43847
72,-1.43921
73,-1.48146
74,-2.61213
75,-2.37783
76,-2.35658
77,-2.62902
78,-2.59676
79,-2.61578
80,-2.45657
81,-2.41988
82,-2.38766
83,-2.56215
84,-2.59312
85,-2.44724
86,-3.2151
87,-2.93361
88,-2.95772
89,-3.18201
90,-3.18333
91,-1.24587
92,-1.23785
93,-1.24957
94,-1.22422
95,-1.23768
96,-1.23692
97,-1.10279
98,-1.16969
99,-2.52923
100,-4.3516
101,-3.91106
102,2.48169
103,2.51077
104,2.49473
105,2.53459
106,8.304
107,11.525
108,9.71617
109,11.8488
110,11.5932
111,11.5251
112,11.5862
113,12.111
114,12.2888
115,-1.70585
116,-0.455851
117,1.84395
118,1.42756
119,1.46501
120,1.40806
121,1.52089
122,1.61015
123,1.6347
124,1.73464
125,-3.77574
126,-3.55186
127,-1.93409
128,-1.94658
129,3.63245
130,3.635
131,3.55114
132,3.60031
133,3.54344
134,3.47995
135,11.121
136,8.68253
137,10.3518
138,10.3475
139,10.3023
140,10.3977
141,10.4996
142,10.9955
143,-0.18244
144,1.62978
145,0.419585
146,0.38636
147,0.346987
148,0.188612
149,-0.923848
150,-0.914279
151,1.16603
152,1.71422
153,1.80423
154,1.74169
155,1.92258
156,1.35875
157,1.38163
158,1.18556
159,1.12134
160,1.17464
161,1.41483
162,-2.74358
163,-2.35681
164,-0.777008
165,-0.695797
166,-0.762051
167,-0.65489
168,-2.03822
169,-2.02006
170,-2.26324
171,-2.33314
172,-2.30942
173,-2.2938
174,-2.85316
175,-2.69193
176,-2.73597
177,-2.82049
178,-2.85671
179,-2.37451
180,3.18428
181,3.8095
182,3.86121
183,3.84305
184,3.80935
185,3.79489
186,4.24601
187,4.56458
188,5.36114
189,3.06155
190,3.26918
191,-1.18676
192,-2.25696
193,-2.27035
194,-2.01817
195,-1.10506
196,-1.79043
197,0.19094
198,1.12
199,1.11777
