sample_id,hls_score
0,-1.09265
1,-0.858804
2,-0.901874
3,-1.23931
4,-1.44247
5,-1.43724
6,-1.66687
7,-1.48029
8,-1.91527
9,-1.60954
10,-1.63263
11,-1.73274
12,-1.55563
13,-1.26931
14,-1.14078
15,-1.1268
16,-1.31585
17,-1.37141
18,-1.24684
19,-1.38014
20,-0.448001
21,-1.80434
22,-2.28871
23,-1.80126
24,-1.12724
25,-1.14998
26,-0.873044
27,-0.897074
28,-0.864321
29,-1.22767
30,-1.17565
31,-1.90368
32,-1.67852
33,-1.95489
34,-1.65233
35,-1.08431
36,-1.23004
37,-0.958426
38,-1.55686
39,-0.788669
40,-1.39984
41,-0.896706
42,-1.38557
43,-0.743053
44,-0.800818
45,-1.15495
46,-0.458806
47,-1.20129
48,-1.83165
49,-0.582485
50,-1.58483
51,-1.40593
52,-1.11803
53,-1.51999
54,-0.811835
55,-1.50807
56,-0.361076
57,-1.08582
58,-2.51244
59,-1.33304
60,-1.70209
61,-2.02162
62,-1.96886
63,-1.66852
64,-1.11924
65,-1.65139
66,-0.507765
67,-0.90353
68,-1.19401
69,-0.71916
70,-1.50316
71,-1.10927
72,-2.3619
73,-1.2912
74,-2.36485
75,-1.44306
76,-1.592
77,-1.39207
78,-1.62468
79,-1.55607
80,-0.983063
81,-2.21487
82,-1.3511
83,-1.59894
84,-2.79522
85,-1.51026
86,-2.31862
87,-2.65708
88,-1.58218
89,-2.12583
90,-1.73244
91,-0.761264
92,-0.692861
93,-0.376203
94,-1.01194
95,-0.643121
96,-0.83532
97,-1.6835
98,-0.649239
99,-2.66062
100,-5.827
101,-4.71176
102,1.57507
103,2.66206
104,3.42045
105,1.99942
106,4.187
107,4.20844
108,3.70089
109,3.20476
110,3.45312
111,4.03164
112,3.81651
113,5.10998
114,3.74243
115,2.51978
116,1.22006
117,2.03702
118,2.09148
119,2.08694
120,2.45305
121,2.88169
122,0.361163
123,0.387471
124,2.90065
125,2.27488
126,-3.2938
127,-2.54028
128,-0.894239
129,0.57941
130,2.19793
131,3.86782
132,2.08065
133,3.57642
134,4.74812
135,4.1392
136,2.55032
137,3.42897
138,2.7597
139,3.93686
140,2.93339
141,3.39988
142,4.44111
143,2.40681
144,3.35494
145,3.39964
146,2.12042
147,0.860393
148,3.83371
149,2.34532
150,3.17413
151,3.80455
152,3.85722
153,1.87414
154,1.61498
155,3.55563
156,2.86946
157,2.55632
158,3.60682
159,3.28065
160,3.12235
161,4.7497
162,4.56723
163,-0.569858
164,-0.227297
165,-0.274123
166,-0.296768
167,5.88456
168,-2.61268
169,-1.33417
170,-2.04888
171,-1.36287
172,-1.12522
173,-1.39429
174,-1.34651
175,-2.48022
176,-2.07315
177,-1.88516
178,-2.03897
179,-2.01258
180,2.88406
181,3.44387
182,3.71648
183,4.6269
184,4.24246
185,4.69589
186,3.99298
187,4.13532
188,4.06564
189,4.34323
190,3.46237
191,3.32164
192,-1.70713
193,-1.23371
194,-2.37403
195,-1.34766
196,-2.01332
197,0.168226
198,0.532092
199,0.581859
