metric,value
model_id,Ours-Q16-S20-AttnSparse
code_name,q16_s20_attn_sparse
quant_bits,16
effective_sparsity,18.75%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
warm_e2e_mean_us,21332.899325
warm_e2e_std_us,5101.194779
warm_e2e_min_us,15617.132000
warm_e2e_p50_us,21143.012000
warm_e2e_p95_us,24595.855750
warm_e2e_p99_us,35979.338210
warm_e2e_max_us,193315.415000
cold_start_latency_us,3948968.302000
accuracy,0.942218
precision,0.976752
recall,0.955209
f1,0.965860
prediction_match_rate,0.994483
preprocessing_feature_mismatches,0
preprocessing_max_abs_error_vs_npz,0.000000000
kernel_latency_us_1000runs,939.254582
application_latency_mean_us,2085.917084
vit4mal_fastest_latency_us,810000
vit4mal_selected_latency_us,1480000
speedup_vs_vit4mal_fastest_warm_e2e,37.969522
speedup_vs_vit4mal_selected_warm_e2e,69.376411
conservative_30x_threshold_us,27000
meets_30x_target,True
headline_speedup_claim,>30x
notes,"Warm E2E includes raw JPEG file I/O/decode, grayscale conversion, 32x32 bilinear resize, normalization, 8x8 patch transform, Q6.10 host quantization, PYNQ buffer transfer, FPGA execution, output read/dequantization, and argmax. Overlay/buffer initialization is excluded from warm E2E and reported separately as cold start."
