metric,value
model_id,Ours-Q8-S30-AttnSparse
d_model,16
ff_dim,32
quant_bits,16
vivado_lut,TBD
vivado_dsp,TBD
vivado_ff,TBD
vivado_bram,TBD
software_accuracy,0.9129
io_dtype,"int16 (ap_fixed<16,6>)"
fp_scale,1024
n_correctness_samples,3444
prediction_match_rate_vs_Q16_ref,0.983159
hw_label_accuracy,0.913473
ref_label_accuracy,0.909988
max_abs_error_vs_Q16_ref,0.7494039
mean_abs_error_vs_Q16_ref,0.16724926
nan_samples,0
inf_samples,0
kernel_runtime_mean_us_100runs,926.61444
kernel_runtime_std_us_100runs,5.63435
kernel_runtime_mean_us_1000runs,933.539608
kernel_runtime_std_us_1000runs,6.649581
total_runtime_mean_us_correctness,22519445.08
throughput_samples_per_sec,152.934497
latency_source,PYNQ_Z2_MEASURED
pynq_measured,True
speedup_vs_ViT4Mal_fastest,867.665381
speedup_vs_ViT4Mal_recommended,1585.363907
notes,"Ours-Q8-S30-AttnSparse (d=16/ff=32) PYNQ-Z2 full-test (3444 samples). ref_acc=0.9100. HW acc=0.9135. Match=0.9832. latency=933.54us. int16 I/O (ap_fixed<16,6>)."
speedup_vs_ViT4Mal_fastest_0p81s,867.665381
speedup_vs_ViT4Mal_recommended_1p48s,1585.363907
vit4mal_fastest_latency_us,810000.0
vit4mal_recommended_latency_us,1480000.0
speedup_formula,ViT4Mal_single_sample_latency_us / ours_latency_us_1000runs
speedup_note,"Corrected speedup uses per-sample PYNQ measured 1000-run mean kernel latency, not total correctness runtime."
