index,label,pass,prediction,read_decode,resize,normalize,patch,quantize,buffer_prep,kernel,readback,total_ms
0,0,1,1,12.452702,2.625089,0.575865,0.841600,0.707680,0.336647,0.998935,0.384517,19.075250
1,1,1,1,11.558271,2.629797,0.575772,0.819016,0.703016,0.341397,0.985754,0.382376,18.152775
2,1,1,1,10.717692,2.741409,0.572818,0.822215,0.699015,0.335797,0.999366,0.383852,17.426313
3,1,1,0,13.819114,2.718683,0.577477,0.821040,0.708018,0.341963,0.999231,0.386123,20.527181
4,1,1,1,10.674203,2.624873,0.683618,0.831231,0.709563,0.342775,0.997273,0.384560,17.408474
5,1,1,1,13.745428,2.716781,0.598658,0.814892,0.703902,0.341477,0.998713,0.385538,20.466357
6,1,1,1,13.617224,2.725742,0.574486,0.825416,0.704314,0.338013,0.997748,0.383305,20.325003
7,1,1,1,11.256935,2.626917,0.578818,0.818855,0.831132,0.338443,0.991157,0.390972,17.992068
8,1,1,1,13.534874,2.629064,0.585957,0.935970,0.714049,0.338547,1.001305,0.389415,20.287403
9,1,1,1,11.865021,2.625883,0.574320,0.819360,0.707846,0.429587,1.000831,0.418412,18.601631
10,1,1,1,11.221600,2.627545,0.573353,0.812646,0.709305,0.339723,0.988253,0.385385,17.816923
11,1,1,1,11.724911,2.629329,0.577741,0.818019,0.698738,0.346603,0.987182,0.385951,18.322978
12,1,1,1,11.427637,2.754843,0.581538,0.824142,0.705581,0.341292,0.998295,0.381933,18.175649
13,1,1,1,10.810302,2.630301,0.671373,0.822381,0.704062,0.340412,0.999354,0.383458,17.516523
14,1,1,1,11.865686,2.628376,0.575926,0.821342,0.812381,0.340443,0.999366,0.389354,18.590671
15,1,1,1,10.778080,2.629243,0.575828,0.814763,0.701816,0.341656,0.985293,0.387384,17.369742
16,1,1,1,10.694800,2.628548,0.573809,0.822221,0.701699,0.338769,0.984529,0.390462,17.291249
17,1,1,1,10.766782,2.727674,0.581803,0.822942,0.702529,0.339834,0.997828,0.392024,17.488849
18,1,1,1,11.730283,2.630566,0.581212,0.956099,0.708904,0.339464,0.998172,0.387262,18.490511
19,1,1,1,13.290160,2.630763,0.582572,0.948148,0.718615,0.343846,1.001274,0.390314,20.063452
20,1,1,1,10.687471,2.626480,0.583157,0.826356,0.699096,0.343163,0.999422,0.421785,17.348246
21,1,1,1,13.573865,2.625427,0.583083,0.825606,0.708492,0.341237,1.002295,0.422683,20.238757
22,1,1,1,11.290733,2.632880,0.585194,0.822018,0.700745,0.342413,0.997286,0.389163,17.919846
23,1,1,1,11.841317,2.627747,0.582141,0.823452,0.705416,0.345293,0.989778,0.386339,18.458338
24,1,1,1,11.453594,2.731286,0.587606,0.819193,0.706437,0.338609,0.987440,0.385779,18.168172
25,1,1,1,10.832099,2.626130,0.583034,0.964204,0.703538,0.343871,0.985151,0.390720,17.586511
26,1,1,1,10.812369,2.636493,0.580486,0.818788,0.703304,0.337944,1.000043,0.409207,17.457655
27,0,1,0,13.386622,2.630911,0.580917,0.826985,0.708277,0.339385,0.999299,0.406265,20.033957
28,1,1,1,10.784449,2.633631,0.575790,0.822461,0.703095,0.340449,0.984142,0.384646,17.383354
29,1,1,1,10.726179,2.761422,0.592492,0.828948,0.707268,0.344997,0.986991,0.388062,17.494874
30,1,1,1,12.807920,2.725858,0.579440,0.817988,0.704640,0.337957,0.999736,0.387003,19.516302
31,1,1,1,11.317243,2.631674,0.697348,0.829083,0.709255,0.343280,1.001255,0.386566,18.071785
32,1,1,1,13.676283,2.728062,0.582960,0.820707,0.704474,0.339354,1.002467,0.382671,20.393458
33,1,1,1,11.483422,2.636228,0.579280,0.828357,0.842621,0.341440,0.986228,0.390190,18.247741
34,0,1,0,13.348578,2.630178,0.582345,0.815686,0.741914,0.335538,0.998733,0.389144,20.097391
35,1,1,1,10.366806,2.631452,0.581587,0.824492,0.707157,0.343557,0.999299,0.387230,16.999470
36,0,1,0,13.856308,2.631212,0.578345,0.817311,0.704504,0.342209,0.984701,0.491157,20.563452
37,1,1,1,13.792455,2.628702,0.579415,0.820824,0.705964,0.341003,0.998111,0.429723,20.452339
38,1,1,1,10.824621,2.629108,0.578344,0.821945,0.706172,0.344271,0.997754,0.389046,17.449452
39,1,1,1,13.468406,2.633446,0.580043,0.821710,0.705470,0.344314,0.988185,0.382547,20.079680
40,0,1,0,13.909342,2.631397,0.583939,0.820769,0.712056,0.343127,0.990935,0.385538,20.535704
41,1,1,1,11.968480,2.629206,0.581243,0.821348,0.713477,0.343797,0.998326,0.391699,18.601415
42,1,1,1,10.753680,2.732615,0.586603,0.826419,0.706745,0.345095,0.985268,0.388923,17.488264
43,0,1,0,13.564320,2.728874,0.582818,0.824652,0.707274,0.343717,0.986338,0.384474,20.277114
44,1,1,1,13.685779,2.757840,0.590400,0.814456,0.704505,0.339852,0.999311,0.387003,20.437465
45,1,1,1,13.599225,2.726769,0.586370,0.823625,0.711618,0.347698,0.990093,0.390240,20.331661
46,1,1,1,9.388738,2.631766,0.579483,0.933187,0.716369,0.339852,0.997268,0.385594,16.130824
47,1,1,1,10.775655,2.628080,0.579262,0.823440,0.703293,0.342400,0.987896,0.501354,17.497421
48,1,1,1,10.661600,2.631163,0.575120,0.820425,0.699569,0.339114,0.984431,0.386271,17.257902
49,1,1,1,13.693877,2.627305,0.581107,0.819981,0.708763,0.339570,0.999551,0.386492,20.313693
50,1,1,1,10.775575,2.753901,0.585003,0.814862,0.701612,0.343477,0.996984,0.382874,17.511022
51,1,1,1,13.667748,2.720111,0.587791,0.827994,0.711471,0.340142,0.997268,0.384954,20.396800
52,1,1,1,11.257206,2.727102,0.598690,0.824609,0.705864,0.342424,0.997963,0.388012,18.004708
53,1,1,1,13.388234,2.720653,0.581096,0.822117,0.704726,0.346800,0.984726,0.388874,20.095489
54,1,1,1,13.878702,2.724868,0.583575,0.824068,0.704259,0.340899,0.983883,0.386425,20.586327
55,1,1,1,13.550425,2.744308,0.584591,0.822603,0.707766,0.343760,0.994874,0.388468,20.294757
56,1,1,1,13.396603,2.739114,0.582911,0.821526,0.700726,0.341889,0.985784,0.387489,20.113704
57,0,1,0,13.438406,2.725618,0.583453,0.830228,0.707108,0.341286,0.999200,0.389477,20.168911
58,1,1,1,11.835944,2.730271,0.579034,0.820917,0.708616,0.339692,1.000080,0.385766,18.555354
59,1,1,1,13.601624,2.726283,0.580560,0.826314,0.705009,0.341680,0.998147,0.386012,20.323114
60,1,1,1,10.693336,2.629157,0.588480,0.824960,0.834117,0.341576,0.988030,0.391348,17.454068
61,0,1,0,13.878480,2.631022,0.585569,0.935920,0.717871,0.343662,0.986664,0.385508,20.624222
62,1,1,1,13.578172,2.626818,0.582277,0.932554,0.711809,0.343249,0.984923,0.387513,20.305151
63,0,1,0,13.904025,2.625736,0.698517,0.823729,0.710560,0.342111,0.986855,0.391876,20.639052
64,1,1,1,13.463470,2.721034,0.590517,0.821939,0.704043,0.343471,0.985477,0.379126,20.165360
65,0,1,0,13.878123,2.738462,0.588597,0.829200,0.710283,0.340369,0.983914,0.388338,20.614911
66,1,1,1,11.559052,2.627243,0.588714,0.947674,0.714308,0.339329,1.000332,0.382123,18.319502
67,0,1,0,13.796708,2.624726,0.706572,0.826215,0.710425,0.339981,0.986665,0.389932,20.535945
68,1,1,1,11.744271,2.629040,0.583458,0.820701,0.836516,0.338252,0.986172,0.385920,18.488990
69,1,1,1,11.279360,2.629102,0.577582,0.824683,0.703477,0.347434,0.986092,0.503779,18.007224
70,1,1,1,13.519631,2.632394,0.576597,0.825827,0.706609,0.340788,1.000166,0.419994,20.182167
71,1,1,1,13.481932,2.629865,0.579514,0.828708,0.707840,0.345729,0.999539,0.424861,20.155600
72,1,1,1,11.510148,2.626844,0.576240,0.823095,0.703065,0.343335,0.997859,0.388942,18.124055
73,1,1,0,13.728505,2.630431,0.584148,0.823693,0.705877,0.341287,0.988160,0.385987,20.343514
74,1,1,1,10.846308,2.629809,0.581422,0.819471,0.699748,0.341655,1.000222,0.382148,17.461009
75,1,1,1,13.663065,2.632529,0.576701,0.829193,0.709674,0.342473,0.997434,0.384234,20.292769
76,0,1,0,13.752320,2.631089,0.578634,0.817335,0.696240,0.340369,0.984018,0.385034,20.341101
77,1,1,1,10.770153,2.728813,0.584387,0.823883,0.708086,0.343415,0.986541,0.388049,17.492037
