index,label,prediction,model_inference_us,kernel_us
0,0,1,1687.742,988.720
1,1,1,1621.274,1000.560
2,1,1,1557.594,974.738
3,1,0,1579.993,980.203
4,1,1,1548.517,973.945
5,1,1,1524.991,970.351
6,1,1,1523.187,973.760
7,1,1,1511.741,969.704
8,1,1,1703.631,1001.126
9,1,1,1551.157,974.221
10,1,1,1535.059,981.120
11,1,1,1529.286,980.609
12,1,1,1560.019,976.450
13,1,1,1548.295,978.074
14,1,1,1544.677,969.095
15,1,1,1542.178,983.840
16,1,1,1565.415,973.409
17,1,1,1553.582,984.240
18,1,1,1534.061,982.290
19,1,1,1528.542,980.640
20,1,1,1549.809,983.335
21,1,1,1585.379,983.286
22,1,1,1536.812,973.471
23,1,1,1522.917,971.809
24,1,1,1527.945,980.830
25,1,1,1512.505,965.613
26,1,1,1550.566,971.255
27,0,0,1621.704,976.782
28,1,1,1548.732,983.883
29,1,1,1522.080,970.917
30,1,1,1563.944,980.776
31,1,1,1547.287,971.052
32,1,1,1535.336,972.683
33,1,1,1555.859,981.619
34,0,0,1528.492,974.105
35,1,1,1580.713,979.581
36,0,0,1540.628,974.794
37,1,1,1520.757,969.889
38,1,1,1517.711,968.837
39,1,1,1590.068,971.261
40,0,0,1545.477,974.542
41,1,1,1518.541,971.187
42,1,1,1529.212,982.898
43,0,0,1555.372,979.261
44,1,1,1555.200,973.132
45,1,1,1526.338,969.058
46,1,1,1619.889,981.901
47,1,1,1536.985,975.581
48,1,1,1557.304,972.265
49,1,1,1553.981,985.563
50,1,1,1523.790,969.735
51,1,1,1532.658,982.917
52,1,1,1537.052,972.351
53,1,1,1568.111,974.320
54,1,1,1546.394,970.837
55,1,1,1524.296,968.597
56,1,1,1518.031,969.680
57,0,0,1512.449,965.748
58,1,1,1596.831,971.563
59,1,1,1549.095,972.948
60,1,1,1524.843,967.668
61,0,0,1517.139,968.265
62,1,1,1557.772,968.818
63,0,0,1551.262,977.077
64,1,1,1540.892,982.714
65,0,0,1543.237,971.237
66,1,1,1535.022,972.117
67,0,0,1564.591,985.391
68,1,1,1539.938,972.443
69,1,1,1538.486,982.701
70,1,1,1512.647,967.447
71,1,1,1607.902,976.819
72,1,1,1585.870,980.898
73,1,0,1539.139,971.538
74,1,1,1522.425,969.766
75,1,1,1525.944,970.006
76,0,0,1595.003,991.452
77,1,1,1775.951,997.545
78,1,1,1680.461,995.415
79,1,1,1566.234,979.711
80,0,0,1535.526,971.286
81,0,0,1594.523,972.775
82,1,1,1563.705,978.436
83,1,1,1570.013,972.227
84,1,1,1548.597,973.501
85,1,1,1531.150,977.015
86,0,1,1570.942,975.496
87,1,1,1546.560,971.914
88,1,0,1526.947,971.926
89,1,1,1515.175,971.852
90,1,1,1573.286,980.234
91,1,0,1558.960,979.674
92,1,1,1533.015,972.344
93,1,1,1516.720,968.000
94,1,1,1509.760,968.966
95,1,1,1532.831,965.809
96,1,1,1584.591,980.646
97,1,1,1545.015,976.936
98,1,1,1525.760,970.941
99,1,1,1517.133,968.554
100,1,1,1560.972,978.166
101,1,1,1545.108,973.341
102,1,1,1529.102,971.545
103,1,1,1603.187,971.274
104,1,0,1537.003,967.791
105,1,1,1567.950,977.311
106,1,0,1524.197,968.793
107,1,0,1515.495,966.818
108,1,1,1513.945,968.966
109,1,1,1564.665,980.400
110,0,0,1549.544,978.222
111,1,1,1533.452,975.434
112,1,1,1514.579,968.141
113,1,1,1550.056,979.618
114,1,1,1639.495,991.176
115,1,1,1617.176,1023.570
116,1,1,1542.812,975.323
117,0,0,1521.618,967.556
118,1,1,1556.517,967.052
119,1,1,1549.145,976.203
120,1,1,1524.296,974.000
121,1,1,1518.449,973.384
122,1,1,1695.255,1036.615
123,1,1,1558.234,980.074
124,0,0,1533.680,974.541
125,1,1,1520.603,970.270
126,1,1,1545.132,968.763
