metric,value
model_id,Q16-QKSv2-S0
code_name,q16_qksv2_d16
attn_dim,16
effective_sparsity,0%
accuracy,0.936411
precision,0.980959
recall,0.944011
f1,0.962130
prediction_match_rate,0.984611
fpga_kernel_latency_us,1007.787
fpga_kernel_latency_p50_us,1003.890
fpga_kernel_latency_p95_us,1017.944
fpga_model_inference_time_s_mean,0.001552
fpga_model_inference_time_s_p50,0.001545
fpga_model_inference_time_s_p95,0.001603
fpga_model_inference_time_s_std,0.000073
fpga_model_inference_time_us_mean,1551.944
fpga_model_inference_time_us_p50,1544.886
fpga_model_inference_time_us_p95,1603.229
speedup_vs_vit4mal_0p81s,521.9
speedup_vs_vit4mal_1p48s,953.6
num_samples,3444
num_repeats,3
cold_start_ms,3107
