index,label,prediction,e2e_us,kernel_us
0,0,0,17964.560,975.090
1,1,1,17447.483,975.323
2,1,1,16733.644,975.095
3,1,0,19822.991,970.856
4,1,1,16831.409,974.080
5,1,1,19915.274,975.618
6,1,1,19663.902,973.563
7,1,1,17348.289,970.307
8,1,1,19636.104,980.154
9,1,1,17839.932,973.975
10,1,1,17449.896,970.412
11,1,1,17783.649,973.570
12,1,1,17583.102,976.092
13,1,1,16856.370,975.293
14,1,1,17932.431,972.689
15,1,1,16973.556,974.880
16,1,1,16857.563,1052.990
17,1,1,16871.612,970.197
18,1,1,17899.926,972.757
19,1,1,19533.409,974.018
20,1,1,16859.502,972.382
21,1,1,26383.606,973.619
22,1,1,23565.828,973.544
23,1,1,23982.271,970.960
24,1,1,23505.464,973.243
25,1,1,23011.748,971.496
26,1,1,22765.022,972.093
27,0,0,26402.130,979.353
28,1,1,22735.323,978.892
29,1,1,22659.963,972.264
30,1,1,25494.350,973.606
31,1,1,23210.480,974.314
32,1,1,26639.034,979.834
33,1,1,23571.353,971.046
34,0,0,26451.476,969.643
35,1,1,22060.659,972.664
36,0,0,27303.163,971.065
37,1,1,26512.074,973.834
38,1,1,22754.271,976.855
39,1,1,26057.853,973.557
40,0,0,26998.252,974.707
41,1,1,24143.981,977.606
42,1,1,23049.809,976.492
43,0,0,26353.686,973.821
44,1,1,26547.680,976.530
45,1,1,26604.289,974.824
46,1,1,20147.859,973.151
47,1,1,22637.311,970.776
48,1,1,22264.185,975.969
49,1,1,26512.357,975.458
50,1,1,22828.333,971.391
51,1,1,26649.428,977.421
52,1,1,23322.732,969.563
53,1,1,26393.495,973.360
54,1,1,26738.812,974.911
55,1,1,26669.705,975.834
56,1,1,26259.040,971.994
57,0,0,26210.369,974.264
58,1,1,24106.696,974.086
59,1,1,26505.779,972.702
60,1,1,22660.424,975.218
61,0,0,26978.141,974.492
62,1,1,26734.431,975.310
63,0,0,27162.523,972.597
64,1,1,26704.695,974.093
65,0,0,27239.126,976.080
66,1,1,23789.089,993.748
67,0,0,27017.754,975.391
68,1,1,24240.511,971.748
69,1,1,23299.477,977.059
70,1,1,26518.018,972.271
71,1,1,26407.390,975.883
72,1,1,23675.366,973.987
73,1,0,26464.732,974.468
74,1,1,22841.034,973.471
75,1,1,26267.476,976.369
76,0,0,26960.196,971.563
77,1,1,22744.960,976.012
78,1,1,22389.446,983.471
79,1,1,22665.963,976.781
80,0,0,26552.480,972.566
81,0,0,27040.732,974.215
82,1,1,24597.071,969.785
83,1,1,22749.323,976.326
84,1,1,22804.825,974.781
85,1,1,26618.738,973.077
86,0,1,24622.929,974.178
87,1,1,24664.302,971.649
88,1,0,19817.114,975.785
89,1,1,20244.917,974.431
90,1,1,26487.895,974.160
91,1,0,26592.603,969.939
92,1,1,26536.185,971.003
93,1,1,26849.704,969.908
94,1,1,48960.074,971.637
95,1,1,20780.339,972.757
96,1,1,26958.991,971.754
97,1,1,22348.504,977.071
98,1,1,26597.428,975.261
99,1,1,26690.276,971.489
100,1,1,23314.782,972.837
101,1,1,26425.003,972.092
102,1,1,22769.797,970.511
103,1,1,32595.729,974.191
104,1,0,26937.803,969.957
105,1,1,26419.766,974.474
106,1,0,26903.582,971.434
107,1,0,27080.333,970.727
108,1,1,24226.061,973.926
109,1,1,23922.653,973.292
110,0,0,27372.117,978.542
111,1,1,22779.384,975.083
112,1,1,25499.452,972.905
113,1,1,23892.819,975.150
114,1,1,22496.154,975.655
115,1,1,22651.692,977.385
116,1,1,22637.341,979.674
117,0,0,26998.948,974.191
118,1,1,23688.523,969.686
119,1,1,24579.261,974.449
120,1,1,25966.554,976.117
121,1,1,22539.052,973.317
122,1,1,23435.366,976.307
123,1,1,26356.916,974.086
124,0,0,26726.868,972.702
125,1,1,22627.588,971.987
126,1,1,22517.052,972.997
127,1,1,26562.302,971.754
128,1,1,20259.114,972.018
129,0,1,25400.677,973.828
130,0,0,26980.037,968.621
131,1,1,24195.914,982.597
