metric,value
model_id,Q16-QKSv2-D14
code_name,q16_qksv2_d14
attn_dim,14
effective_sparsity,12.5%
n_warmup,20
n_test_images,3444
e2e_scope,raw_IMG_DS_image_file_to_final_prediction_excluding_overlay_for_warm_latency
include_image_file_io,True
include_image_decode,True
include_resize,True
include_normalize,True
include_feature_transform,True
include_quantization,True
include_ps_pl_transfer,True
include_fpga_kernel,True
include_output_readback,True
include_argmax,True
include_overlay_loading,False
fpga_inference_time_s_mean,0.018418
fpga_inference_time_s_p50,0.018059
fpga_inference_time_s_p95,0.020093
fpga_inference_time_s_std,0.001380
fpga_inference_time_us_mean,18417.603
fpga_inference_time_us_p50,18058.647
fpga_inference_time_us_p95,20092.781
fpga_kernel_latency_us,993.388
cold_start_latency_us,4234658.067
accuracy,0.937863
precision,0.980316
recall,0.946386
f1,0.963052
prediction_match_rate,0.986643
speedup_vs_vit4mal_fastest_0p81s,43.979663
speedup_vs_vit4mal_selected_1p48s,80.357903
meets_30x_target,True
