index,label,prediction,e2e_us,kernel_us
0,0,1,17905.846,992.732
1,1,1,17705.120,986.332
2,1,1,17003.502,993.188
3,1,0,19966.713,993.902
4,1,1,16933.606,986.419
5,1,1,20016.031,994.456
6,1,1,19789.311,988.074
7,1,1,17371.747,989.907
8,1,1,19806.788,1001.440
9,1,1,17996.099,993.570
10,1,1,17545.557,1003.003
11,1,1,17801.047,999.828
12,1,1,17675.667,987.347
13,1,1,17010.806,989.040
14,1,1,18084.622,990.610
15,1,1,17041.945,998.689
16,1,1,16951.207,989.317
17,1,1,17109.009,990.111
18,1,1,17983.889,988.800
19,1,1,19511.803,991.828
20,1,1,16861.970,989.175
21,1,1,19836.585,988.819
22,1,1,17577.384,985.932
23,1,1,18018.074,1002.671
24,1,1,17761.040,989.077
25,1,1,17247.188,988.295
26,1,1,16958.701,1001.551
27,0,0,19524.960,994.080
28,1,1,17119.563,988.837
29,1,1,16891.932,995.705
30,1,1,19057.969,986.499
31,1,1,17485.077,990.049
32,1,1,19856.437,991.342
33,1,1,17734.283,1000.929
34,0,0,19606.407,987.144
35,1,1,16666.584,991.717
36,0,0,20062.449,988.234
37,1,1,19914.677,990.135
38,1,1,16975.428,991.686
39,1,1,19588.210,990.320
40,0,0,20041.908,992.707
41,1,1,18118.412,1003.169
42,1,1,17127.207,988.770
43,0,0,19855.212,991.003
44,1,1,19949.581,987.575
45,1,1,19803.403,987.913
46,1,1,15598.062,1000.400
47,1,1,17009.434,986.757
48,1,1,17017.631,991.089
49,1,1,19862.498,985.939
50,1,1,17063.225,987.323
51,1,1,19838.696,1019.341
52,1,1,17469.409,987.127
53,1,1,19646.283,991.415
54,1,1,19972.283,987.083
55,1,1,19800.886,988.000
56,1,1,19692.345,987.772
57,0,0,19705.520,1004.080
58,1,1,18078.080,987.194
59,1,1,19854.911,987.729
60,1,1,17048.776,987.316
61,0,0,20155.778,989.009
62,1,1,19926.376,987.268
63,0,0,20154.929,986.855
64,1,1,19850.129,989.249
65,0,0,20178.018,986.733
66,1,1,17807.797,990.314
67,0,0,19948.043,1002.024
68,1,1,17973.742,987.796
69,1,1,17514.911,993.249
70,1,1,19855.280,991.175
71,1,1,19807.827,989.188
72,1,1,17962.597,987.348
73,1,0,19984.627,990.314
74,1,1,17034.147,1003.650
75,1,1,19752.185,987.010
76,0,0,19956.160,1001.052
77,1,1,16899.317,990.431
78,1,1,16967.619,992.210
79,1,1,17061.397,989.341
80,0,0,19986.671,990.197
81,0,0,20130.911,990.049
82,1,1,18366.061,997.341
83,1,1,16867.526,984.382
84,1,1,17013.624,987.969
85,1,1,19829.790,1001.625
86,0,1,18518.037,1001.224
87,1,1,19233.526,993.237
88,1,0,19828.037,989.883
89,1,1,15639.643,992.960
90,1,1,19695.711,990.227
91,1,0,19845.421,989.766
92,1,1,19879.772,997.059
93,1,1,19845.471,991.064
94,1,1,17596.751,989.582
95,1,1,17925.330,986.947
96,1,1,20025.188,987.950
97,1,1,16960.935,991.071
98,1,1,19752.086,986.763
99,1,1,19795.422,999.876
100,1,1,17573.871,990.677
101,1,1,19854.332,987.447
102,1,1,16974.413,987.200
103,1,1,17811.126,990.092
104,1,0,20123.631,991.852
105,1,1,19769.261,990.061
106,1,0,20035.964,987.803
107,1,0,20048.406,987.815
108,1,1,18071.003,1001.471
109,1,1,17950.154,991.815
110,0,0,20105.643,989.170
111,1,1,17101.710,988.043
112,1,1,19132.209,990.283
113,1,1,17896.671,987.600
114,1,1,17004.056,986.825
115,1,1,16911.341,987.157
116,1,1,16982.677,988.720
117,0,0,20103.933,983.643
118,1,1,17826.006,995.570
119,1,1,18468.148,1002.622
120,1,1,19248.258,996.031
121,1,1,17007.102,990.794
122,1,1,17651.244,990.234
123,1,1,19935.735,993.016
124,0,0,19895.422,987.237
125,1,1,17084.301,1003.421
126,1,1,16942.468,986.874
127,1,1,19823.009,988.061
128,1,1,15697.877,989.538
129,0,1,18913.459,991.668
130,0,0,20156.616,1004.929
131,1,1,18059.871,989.501
132,1,1,19933.452,993.133
133,1,1,20049.323,996.179
134,0,0,20136.388,990.701
135,1,1,19828.350,989.956
136,1,1,19818.616,988.486
137,1,1,16898.769,990.369
138,0,0,19912.400,1001.360
139,1,1,17720.499,1002.179
140,0,0,20112.412,987.680
141,1,1,19650.702,991.120
142,1,1,17055.367,1001.742
143,1,1,17926.609,1095.619
144,1,1,15095.236,993.231
145,1,1,19742.751,992.523
146,1,1,19904.154,987.224
147,1,1,19807.803,989.840
148,1,1,16985.243,988.658
149,1,1,17043.772,987.871
150,1,1,19850.098,994.424
151,1,1,19873.680,990.572
152,1,1,18438.394,988.006
153,1,1,17119.784,987.871
154,1,1,17889.569,987.981
155,1,1,17000.566,996.006
156,1,1,19983.760,988.375
157,1,1,19650.307,1001.194
158,0,0,19976.111,996.080
159,1,1,17413.784,988.800
160,1,1,18108.154,990.425
161,1,0,19045.914,999.637
162,1,1,17022.006,991.816
163,1,1,16954.597,987.058
164,0,0,20067.089,991.323
165,0,0,19848.179,991.901
166,1,1,17104.590,986.677
167,0,0,20670.529,991.016
168,1,1,19815.563,991.859
169,0,0,19859.022,991.840
170,0,1,19871.828,987.059
171,1,1,18079.945,1001.587
172,1,1,17082.886,988.899
173,1,1,16885.520,992.646
174,1,1,17550.837,988.104
175,1,1,17301.415,997.378
176,0,0,20691.754,988.942
177,1,1,17091.914,991.150
178,1,1,18061.914,991.600
179,1,1,20058.572,993.157
180,1,1,18931.932,995.298
181,1,1,19213.637,992.590
182,1,1,16994.720,990.345
183,1,1,17104.585,988.960
184,1,1,16864.726,998.535
185,1,1,17530.056,987.600
186,1,1,19743.237,996.622
187,0,1,19636.911,997.557
188,1,1,16975.594,1002.775
189,1,1,19979.009,1001.016
190,0,0,20194.092,1001.667
191,1,1,17796.185,1000.104
192,1,1,19142.836,991.150
193,1,1,17684.363,1001.194
194,1,1,17819.293,1000.068
195,1,1,17019.058,1000.443
196,0,0,20040.738,997.772
197,1,1,16990.443,989.342
198,1,1,16944.449,985.360
199,1,1,19755.699,996.991
200,0,0,20092.837,1000.923
201,1,1,17495.138,988.037
202,1,1,19941.513,1000.160
203,1,1,19834.092,995.144
204,1,1,16992.794,998.388
205,1,1,18142.492,999.993
206,1,1,17901.785,996.941
207,1,1,18075.551,995.674
208,1,1,20087.071,1000.665
209,0,0,20164.861,1000.683
210,1,1,19814.972,994.813
211,1,1,19695.612,995.225
212,1,1,18066.873,997.501
213,0,0,19973.169,1000.886
214,1,1,18054.209,1003.428
215,0,0,19896.289,999.133
216,1,1,19898.056,997.434
217,1,1,16822.861,998.407
218,0,0,17796.221,997.969
219,1,1,19840.498,999.090
220,1,1,17061.268,999.833
221,1,1,18191.545,998.554
222,1,1,16956.215,999.367
223,1,1,17088.763,1001.009
224,0,0,19757.667,999.730
225,1,1,18156.585,993.957
226,0,0,20052.012,1001.379
227,1,1,19494.751,998.738
228,1,1,17045.299,1000.073
229,1,1,17460.695,1001.046
230,1,1,19717.133,998.738
231,1,1,17161.908,1001.471
232,1,1,17062.794,998.031
233,1,1,17050.616,998.430
234,1,0,19506.234,996.874
235,1,1,20379.945,999.914
236,1,1,19952.443,997.028
237,1,1,19215.588,997.982
238,1,1,16978.511,999.317
239,1,1,19632.061,999.932
240,1,1,17607.828,1000.105
241,1,1,17022.640,999.465
242,1,1,19804.474,994.910
243,1,1,17016.449,999.662
244,1,1,17987.003,994.265
245,1,1,19878.166,998.338
246,1,1,16986.099,1002.277
247,0,0,20012.615,1001.138
