sample_id,repeat_id,label,prediction,correct,buf_write,cache_flush,register_setup,kernel,output_readback,classifier,patch_embedding,weight_transfer,total_us
0,1,0,0,1,158.4060,325.6920,0.0000,986.0000,251.6550,223.4400,0.0000,0.0000,1945.1930
1,1,1,1,1,72.1910,205.6490,0.0000,966.6340,241.7790,163.2490,0.0000,0.0000,1649.5020
2,1,1,1,1,69.2680,191.3470,0.0000,967.3910,206.3390,146.0800,0.0000,0.0000,1580.4250
3,1,1,0,0,64.3570,173.9630,0.0000,958.6030,197.8710,142.6150,0.0000,0.0000,1537.4090
4,1,1,1,1,64.3390,167.0830,0.0000,958.6160,196.0800,139.9510,0.0000,0.0000,1526.0690
5,1,1,1,1,62.6270,169.5820,0.0000,959.5080,194.7570,136.7380,0.0000,0.0000,1523.2120
6,1,1,1,1,61.9510,167.2240,0.0000,957.6920,194.0310,136.8180,0.0000,0.0000,1517.7160
7,1,1,1,1,62.9300,169.2860,0.0000,946.1540,216.1960,146.2400,0.0000,0.0000,1540.8060
8,1,1,1,1,63.8150,175.4590,0.0000,962.9230,201.6000,140.0120,0.0000,0.0000,1543.8090
9,1,1,1,1,63.5330,169.7350,0.0000,960.2520,197.7600,137.7480,0.0000,0.0000,1529.0280
10,1,1,1,1,63.4090,167.7730,0.0000,958.7380,196.3330,137.2670,0.0000,0.0000,1523.5200
11,1,1,1,1,61.8030,167.6860,0.0000,956.8560,197.3230,137.2500,0.0000,0.0000,1520.9180
12,1,1,1,1,62.7750,167.7530,0.0000,954.8860,194.4800,135.7470,0.0000,0.0000,1515.6410
13,1,1,1,1,62.2640,166.9910,0.0000,954.4310,209.6370,141.9690,0.0000,0.0000,1535.2920
14,1,1,1,1,65.4280,170.4740,0.0000,961.6860,198.8060,136.6090,0.0000,0.0000,1533.0030
15,1,1,1,1,63.9880,169.5020,0.0000,956.6030,198.3570,137.9320,0.0000,0.0000,1526.3820
16,1,1,1,1,64.3880,168.4990,0.0000,956.8860,196.7130,138.1290,0.0000,0.0000,1524.6150
