index,label,pass,prediction,buffer_write,cache_flush,register_setup,fpga_kernel,output_readback,decoder_classifier,patch_embedding,weight_transfer,total_us
0,0,1,0,129.2310,272.4550,0.0000,976.6960,241.7290,217.2870,0.0000,0.0000,1837.3980
1,1,1,1,72.4250,199.4650,0.0000,955.2250,212.2220,149.9880,0.0000,0.0000,1589.3250
2,1,1,1,64.7880,176.2830,0.0000,950.4310,234.9910,153.4950,0.0000,0.0000,1579.9880
3,1,1,0,66.5780,174.7940,0.0000,954.0120,201.5560,144.7440,0.0000,0.0000,1541.6840
4,1,1,1,63.2680,169.5200,0.0000,950.3820,196.0860,139.0400,0.0000,0.0000,1518.2960
5,1,1,1,63.8770,167.6490,0.0000,949.2620,198.1970,139.9690,0.0000,0.0000,1518.9540
6,1,1,1,62.5470,167.3600,0.0000,954.9420,193.0710,135.2860,0.0000,0.0000,1513.2060
7,1,1,1,64.1910,165.9570,0.0000,951.4520,194.0180,137.3350,0.0000,0.0000,1512.9530
8,1,1,1,62.4740,167.8650,0.0000,947.6680,218.7880,146.3510,0.0000,0.0000,1543.1460
9,1,1,1,68.1660,172.6640,0.0000,951.0770,197.5510,139.8530,0.0000,0.0000,1529.3110
10,1,1,1,64.0370,170.3880,0.0000,948.1050,197.5450,136.1780,0.0000,0.0000,1516.2530
11,1,1,1,62.3010,170.1170,0.0000,955.2680,195.5750,137.3110,0.0000,0.0000,1520.5720
12,1,1,1,61.5810,168.5790,0.0000,950.0620,194.0740,140.0500,0.0000,0.0000,1514.3460
13,1,1,1,63.4090,167.5320,0.0000,950.2890,193.7420,134.7880,0.0000,0.0000,1509.7600
14,1,1,1,63.3660,167.3600,0.0000,959.9570,215.2980,144.9850,0.0000,0.0000,1550.9660
15,1,1,1,64.5170,173.6860,0.0000,951.5570,199.6130,139.6680,0.0000,0.0000,1529.0410
16,1,1,1,65.1570,168.2280,0.0000,949.8030,194.6650,137.3660,0.0000,0.0000,1515.2190
17,1,1,1,64.3200,165.2430,0.0000,949.9940,197.2610,136.2030,0.0000,0.0000,1513.0210
18,1,1,1,63.1510,166.7080,0.0000,949.1450,195.1750,135.8340,0.0000,0.0000,1510.0130
19,1,1,1,63.1510,166.9600,0.0000,945.4580,193.5870,137.2430,0.0000,0.0000,1506.3990
20,1,1,1,63.1390,165.9080,0.0000,956.2280,213.9700,147.0150,0.0000,0.0000,1546.2600
21,1,1,1,66.0980,173.1200,0.0000,952.2890,197.8770,139.7110,0.0000,0.0000,1529.0950
22,1,1,1,63.8210,169.4710,0.0000,956.8990,196.3500,136.7930,0.0000,0.0000,1523.3340
23,1,1,1,64.5790,170.2890,0.0000,944.6280,195.1570,137.6860,0.0000,0.0000,1512.3390
24,1,1,1,64.8060,165.6440,0.0000,944.6830,195.6980,137.1750,0.0000,0.0000,1508.0060
25,1,1,1,62.4370,166.0310,0.0000,944.1230,198.4190,135.5440,0.0000,0.0000,1506.5540
26,1,1,1,64.3750,165.9020,0.0000,950.5050,235.8340,141.8580,0.0000,0.0000,1558.4740
27,0,1,0,63.5940,174.2030,0.0000,952.1730,197.2430,137.9630,0.0000,0.0000,1525.1760
28,1,1,1,62.8620,169.9870,0.0000,961.1810,194.7690,137.4030,0.0000,0.0000,1526.2020
