config,loop_scope,source_loop_bound,csynth_evidence,tripcount,expected_tripcount,pass_fail,is_mask_based,notes
Q16-QKSv3-S0,top/input_projection_token,ACTIVE_TOKENS,q16_qksv3_s0_csynth.xml top TripCount,16,16,PASS,False,"Outer token loop"
Q16-QKSv3-S10,top/input_projection_token,ACTIVE_TOKENS,q16_qksv3_s10_csynth.xml top TripCount,14,14,PASS,False,"Outer token loop"
Q16-QKSv3-S20,top/input_projection_token,ACTIVE_TOKENS,q16_qksv3_s20_csynth.xml top TripCount,13,13,PASS,False,"Outer token loop"
Q16-QKSv3-S30,top/input_projection_token,ACTIVE_TOKENS,q16_qksv3_s30_csynth.xml top TripCount,11,11,PASS,False,"Outer token loop"
Q16-QKSv3-S0,attention_token,ACTIVE_TOKENS,attention_v2_pruned_csynth.xml TripCount,16,16,PASS,False,"Token-level attention function tripcount"
Q16-QKSv3-S10,attention_token,ACTIVE_TOKENS,attention_v2_pruned_csynth.xml TripCount,14,14,PASS,False,"Token-level attention function tripcount"
Q16-QKSv3-S20,attention_token,ACTIVE_TOKENS,attention_v2_pruned_csynth.xml TripCount,13,13,PASS,False,"Token-level attention function tripcount"
Q16-QKSv3-S30,attention_token,ACTIVE_TOKENS,attention_v2_pruned_csynth.xml TripCount,11,11,PASS,False,"Token-level attention function tripcount"
Q16-QKSv3-S0,QK_output_dimension,ATTN_DIM,"source lines 85/95 and Q/K arrays [ACTIVE_TOKENS][ATTN_DIM]",16,16,PASS,False,"Physical Q/K dimension"
Q16-QKSv3-S10,QK_output_dimension,ATTN_DIM,"source lines 85/95 and Q/K arrays [ACTIVE_TOKENS][ATTN_DIM]",14,14,PASS,False,"Physical Q/K dimension"
Q16-QKSv3-S20,QK_output_dimension,ATTN_DIM,"source lines 85/95 and Q/K arrays [ACTIVE_TOKENS][ATTN_DIM]",13,13,PASS,False,"Physical Q/K dimension"
Q16-QKSv3-S30,QK_output_dimension,ATTN_DIM,"source lines 85/95 and Q/K arrays [ACTIVE_TOKENS][ATTN_DIM]",11,11,PASS,False,"Physical Q/K dimension"
Q16-QKSv3-S0,KV_combined_MAC_loop,ATTN_DIM*D_MODEL*ACTIVE_TOKENS,attention_v2_pruned_Pipeline_VITIS_LOOP_107_8_VITIS_LOOP_108_9_VITIS_LOOP_110_10_csynth.xml,4096,4096,PASS,False,"Combined tripcount 16*16*16"
Q16-QKSv3-S10,KV_combined_MAC_loop,ATTN_DIM*D_MODEL*ACTIVE_TOKENS,attention_v2_pruned_Pipeline_VITIS_LOOP_107_8_VITIS_LOOP_108_9_VITIS_LOOP_110_10_csynth.xml,3136,3136,PASS,False,"Combined tripcount 14*16*14"
Q16-QKSv3-S20,KV_combined_MAC_loop,ATTN_DIM*D_MODEL*ACTIVE_TOKENS,attention_v2_pruned_Pipeline_VITIS_LOOP_107_8_VITIS_LOOP_108_9_VITIS_LOOP_110_10_csynth.xml,2704,2704,PASS,False,"Combined tripcount 13*16*13"
Q16-QKSv3-S30,KV_combined_MAC_loop,ATTN_DIM*D_MODEL*ACTIVE_TOKENS,attention_v2_pruned_Pipeline_VITIS_LOOP_107_8_VITIS_LOOP_108_9_VITIS_LOOP_110_10_csynth.xml,1936,1936,PASS,False,"Combined tripcount 11*16*11"
Q16-QKSv3-S0,FFN_channel_inner,D_MODEL_or_FF_DIM,source and csynth reports,16,16,PASS,False,"Channel width remains dense; outer token count still ACTIVE_TOKENS"
Q16-QKSv3-S10,FFN_channel_inner,D_MODEL_or_FF_DIM,source and csynth reports,16,16,PASS,False,"Channel width remains dense; outer token count still ACTIVE_TOKENS"
Q16-QKSv3-S20,FFN_channel_inner,D_MODEL_or_FF_DIM,source and csynth reports,16,16,PASS,False,"Channel width remains dense; outer token count still ACTIVE_TOKENS"
Q16-QKSv3-S30,FFN_channel_inner,D_MODEL_or_FF_DIM,source and csynth reports,16,16,PASS,False,"Channel width remains dense; outer token count still ACTIVE_TOKENS"
